id,created_by,created_date,last_modified_by,last_modified_date,amount,error_description,status,type,harvest_year,harvest_id,distribution_origin_id,private_ucs_amount,public_ucs_amount
62,1,2011-07-02 00:00:00,,,374296,,FINISHED,PARTITION_HARVEST,2010,62,,374296,0
63,1,2011-07-02 00:00:00,,,820822,,FINISHED,PARTITION_HARVEST,2010,63,,820822,0
64,1,2011-07-02 00:00:00,,,1480431,,FINISHED,PARTITION_HARVEST,2010,64,,1480431,0
65,1,2011-07-02 00:00:00,,,12082,,FINISHED,PARTITION_HARVEST,2010,65,,12082,0
66,1,2011-07-02 00:00:00,,,525671,,FINISHED,PARTITION_HARVEST,2010,66,,525671,0
67,1,2011-07-02 00:00:00,,,677806,,FINISHED,PARTITION_HARVEST,2010,67,,677806,0
68,1,2011-07-02 00:00:00,,,694427,,FINISHED,PARTITION_HARVEST,2010,68,,694427,0
69,1,2011-07-02 00:00:00,,,1621845,,FINISHED,PARTITION_HARVEST,2010,69,,1621845,0
70,1,2011-07-02 00:00:00,,,872193,,FINISHED,PARTITION_HARVEST,2010,70,,872193,0
71,1,2011-07-02 00:00:00,,,760817,,FINISHED,PARTITION_HARVEST,2010,71,,760817,0
72,1,2011-07-02 00:00:00,,,21473,,FINISHED,PARTITION_HARVEST,2010,72,,21473,0
73,1,2011-07-02 00:00:00,,,539440,,FINISHED,PARTITION_HARVEST,2010,73,,539440,0
74,1,2011-07-02 00:00:00,,,3336259,,FINISHED,PARTITION_HARVEST,2010,74,,3336259,0
75,1,2011-07-02 00:00:00,,,1997403,,FINISHED,PARTITION_HARVEST,2010,75,,1997403,0
76,1,2011-07-02 00:00:00,,,44419,,FINISHED,PARTITION_HARVEST,2010,76,,44419,0
77,1,2011-07-02 00:00:00,,,78653,,FINISHED,PARTITION_HARVEST,2010,77,,78653,0
78,1,2011-07-02 00:00:00,,,62333,,FINISHED,PARTITION_HARVEST,2010,78,,62333,0
79,1,2011-07-02 00:00:00,,,13960,,FINISHED,PARTITION_HARVEST,2010,79,,13960,0
80,1,2011-07-02 00:00:00,,,226553,,FINISHED,PARTITION_HARVEST,2010,80,,226553,0
81,1,2011-07-02 00:00:00,,,273913,,FINISHED,PARTITION_HARVEST,2010,81,,273913,0
82,1,2011-07-02 00:00:00,,,171875,,FINISHED,PARTITION_HARVEST,2010,82,,171875,0
83,1,2011-07-02 00:00:00,,,32005,,FINISHED,PARTITION_HARVEST,2010,83,,32005,0
84,1,2011-07-02 00:00:00,,,166960,,FINISHED,PARTITION_HARVEST,2010,84,,166960,0
85,1,2011-07-02 00:00:00,,,5173,,FINISHED,PARTITION_HARVEST,2010,85,,5173,0
86,1,2011-07-02 00:00:00,,,34263,,FINISHED,PARTITION_HARVEST,2010,86,,34263,0
87,1,2011-07-02 00:00:00,,,187586,,FINISHED,PARTITION_HARVEST,2010,87,,187586,0
88,1,2011-07-02 00:00:00,,,7841,,FINISHED,PARTITION_HARVEST,2010,88,,7841,0
89,1,2011-07-02 00:00:00,,,2467,,FINISHED,PARTITION_HARVEST,2010,89,,2467,0
90,1,2011-07-02 00:00:00,,,93456,,FINISHED,PARTITION_HARVEST,2010,90,,93456,0
91,1,2011-07-02 00:00:00,,,95326,,FINISHED,PARTITION_HARVEST,2010,91,,95326,0
92,1,2011-07-02 00:00:00,,,41758,,FINISHED,PARTITION_HARVEST,2010,92,,41758,0
93,1,2011-07-02 00:00:00,,,189255,,FINISHED,PARTITION_HARVEST,2010,93,,189255,0
94,1,2011-07-02 00:00:00,,,482098,,FINISHED,PARTITION_HARVEST,2010,94,,482098,0
95,1,2011-07-02 00:00:00,,,856181,,FINISHED,PARTITION_HARVEST,2010,95,,856181,0
96,1,2011-07-02 00:00:00,,,5812,,FINISHED,PARTITION_HARVEST,2010,96,,5812,0
97,1,2011-07-02 00:00:00,,,75449,,FINISHED,PARTITION_HARVEST,2010,97,,75449,0
98,1,2011-07-02 00:00:00,,,218513,,FINISHED,PARTITION_HARVEST,2010,98,,218513,0
99,1,2011-07-02 00:00:00,,,2685,,FINISHED,PARTITION_HARVEST,2010,99,,2685,0
100,1,2011-07-02 00:00:00,,,56953,,FINISHED,PARTITION_HARVEST,2010,100,,56953,0
101,1,2011-07-02 00:00:00,,,27166,,FINISHED,PARTITION_HARVEST,2010,101,,27166,0
102,1,2011-07-02 00:00:00,,,38687,,FINISHED,PARTITION_HARVEST,2010,102,,38687,0
103,1,2011-07-02 00:00:00,,,14956,,FINISHED,PARTITION_HARVEST,2010,103,,14956,0
104,1,2011-07-02 00:00:00,,,20315,,FINISHED,PARTITION_HARVEST,2010,104,,20315,0
105,1,2011-07-02 00:00:00,,,2332792,,FINISHED,PARTITION_HARVEST,2010,105,,2332792,0
106,1,2011-07-02 00:00:00,,,400574,,FINISHED,PARTITION_HARVEST,2010,106,,400574,0
107,1,2011-07-02 00:00:00,,,196646,,FINISHED,PARTITION_HARVEST,2010,107,,196646,0
108,1,2011-07-02 00:00:00,,,14328,,FINISHED,PARTITION_HARVEST,2010,108,,14328,0
109,1,2011-07-02 00:00:00,,,43628,,FINISHED,PARTITION_HARVEST,2010,109,,43628,0
110,1,2011-07-02 00:00:00,,,10993,,FINISHED,PARTITION_HARVEST,2010,110,,10993,0
111,1,2011-07-02 00:00:00,,,126098,,FINISHED,PARTITION_HARVEST,2010,111,,126098,0
112,1,2011-07-02 00:00:00,,,76606,,FINISHED,PARTITION_HARVEST,2010,112,,76606,0
113,1,2011-07-02 00:00:00,,,661713,,FINISHED,PARTITION_HARVEST,2010,113,,661713,0
114,1,2011-07-02 00:00:00,,,1443613,,FINISHED,PARTITION_HARVEST,2010,114,,1443613,0
115,1,2011-07-02 00:00:00,,,324083,,FINISHED,PARTITION_HARVEST,2010,115,,324083,0
116,1,2011-07-02 00:00:00,,,46184,,FINISHED,PARTITION_HARVEST,2010,116,,46184,0
117,1,2011-07-02 00:00:00,,,384739,,FINISHED,PARTITION_HARVEST,2010,117,,384739,0
118,1,2011-07-02 00:00:00,,,193245,,FINISHED,PARTITION_HARVEST,2010,118,,193245,0
119,1,2011-07-02 00:00:00,,,1638430,,FINISHED,PARTITION_HARVEST,2010,119,,1638430,0
120,1,2011-07-02 00:00:00,,,63317,,FINISHED,PARTITION_HARVEST,2010,120,,63317,0
121,1,2011-07-02 00:00:00,,,12722,,FINISHED,PARTITION_HARVEST,2010,121,,12722,0
122,1,2011-07-02 00:00:00,,,8828,,FINISHED,PARTITION_HARVEST,2010,122,,8828,0
123,1,2011-07-02 00:00:00,,,11174,,FINISHED,PARTITION_HARVEST,2010,123,,11174,0
124,1,2011-07-02 00:00:00,,,249456,,FINISHED,PARTITION_HARVEST,2010,124,,249456,0
125,1,2011-07-02 00:00:00,,,97831,,FINISHED,PARTITION_HARVEST,2010,125,,97831,0
126,1,2011-07-02 00:00:00,,,168871,,FINISHED,PARTITION_HARVEST,2010,126,,168871,0
127,1,2011-07-02 00:00:00,,,4950,,FINISHED,PARTITION_HARVEST,2010,127,,4950,0
128,1,2011-07-02 00:00:00,,,584268,,FINISHED,PARTITION_HARVEST,2010,128,,584268,0
129,1,2011-07-02 00:00:00,,,44101,,FINISHED,PARTITION_HARVEST,2010,129,,44101,0
130,1,2011-07-02 00:00:00,,,2369789,,FINISHED,PARTITION_HARVEST,2010,130,,2369789,0
131,1,2011-07-02 00:00:00,,,932533,,FINISHED,PARTITION_HARVEST,2010,131,,932533,0
132,1,2011-07-02 00:00:00,,,1203570,,FINISHED,PARTITION_HARVEST,2010,132,,1203570,0
133,1,2011-07-02 00:00:00,,,77522,,FINISHED,PARTITION_HARVEST,2010,133,,77522,0
134,1,2011-07-02 00:00:00,,,603429,,FINISHED,PARTITION_HARVEST,2010,134,,603429,0
135,1,2011-07-02 00:00:00,,,32821,,FINISHED,PARTITION_HARVEST,2010,135,,32821,0
136,1,2011-07-02 00:00:00,,,414501,,FINISHED,PARTITION_HARVEST,2010,136,,414501,0
137,1,2011-07-02 00:00:00,,,159521,,FINISHED,PARTITION_HARVEST,2010,137,,159521,0
138,1,2011-07-02 00:00:00,,,73239,,FINISHED,PARTITION_HARVEST,2010,138,,73239,0
139,1,2011-07-02 00:00:00,,,30116,,FINISHED,PARTITION_HARVEST,2010,139,,30116,0
140,1,2011-07-02 00:00:00,,,20849,,FINISHED,PARTITION_HARVEST,2010,140,,20849,0
141,1,2011-07-02 00:00:00,,,1077,,FINISHED,PARTITION_HARVEST,2010,141,,1077,0
142,1,2011-07-02 00:00:00,,,1123,,FINISHED,PARTITION_HARVEST,2010,142,,1123,0
