id,content_type,name,path,size,created_by,created_date,last_modified_by,last_modified_date
af92881b-4ec4-42b6-b09b-26563eb560cd,image/png,tesouro_verde_fundo.png,/storage/bmv/certificate-template/2023/8/9/af92881b-4ec4-42b6-b09b-26563eb560cd.png,395727,933,2023-08-09 18:25:46.746813,933,2023-08-09 18:25:46.753155
f3e68542-de3d-4b95-a24e-e7f780942d9b,image/png,bmv.png,/storage/bmv/certificate-template/2023/9/4/f3e68542-de3d-4b95-a24e-e7f780942d9b.png,33930,933,2023-09-04 12:10:50.687561,933,2023-09-04 12:10:50.695772
475ae6ab-419f-4555-8607-53ac558baa65,image/png,logo_tesouro_verde.png,/storage/bmv/certificate-template/2023/9/4/475ae6ab-419f-4555-8607-53ac558baa65.png,19571,933,2023-09-04 12:13:04.415192,933,2023-09-04 12:13:04.425081
5809608c-693a-4c5d-b786-5b7f2a414617,image/png,mumbucaverdelogo.png,/storage/bmv/certificate-template/2023/9/4/5809608c-693a-4c5d-b786-5b7f2a414617.png,26327,933,2023-09-04 12:11:34.779538,933,2023-09-04 12:11:34.782996
f3dcb6a2-2581-42ed-bd8f-fec0eab89cea,image/png,LOGO_SEBRAE_PNG.png,/storage/bmv/certificate-template/2023/9/4/f3dcb6a2-2581-42ed-bd8f-fec0eab89cea.png,40025,933,2023-09-04 12:05:42.40233,933,2023-09-04 12:05:42.407464
be60f75c-3e25-412e-9a55-bd7db9c97606,image/png,bmv.png,/storage/bmv/certificate-template/2023/9/4/be60f75c-3e25-412e-9a55-bd7db9c97606.png,33930,933,2023-09-04 12:10:06.384284,933,2023-09-04 12:10:06.386267
3fafc5f6-5220-4dc6-8a99-3eddec3bed57,image/png,sebrae_tesver.png,/storage/bmv/certificate-template/2023/9/4/3fafc5f6-5220-4dc6-8a99-3eddec3bed57.png,23225,933,2023-09-04 12:18:02.07006,933,2023-09-04 12:18:02.073742
b599f5de-d2af-4470-afee-68d6b30dde94,image/png,logo_tesouro_verde.png,/storage/bmv/certificate-template/2023/9/4/b599f5de-d2af-4470-afee-68d6b30dde94.png,19571,933,2023-09-04 12:12:21.731614,933,2023-09-04 12:12:21.73676
4bb9c63b-782d-47ff-b48b-fdcac26db443,image/png,bmv.png,/storage/bmv/certificate-template/2023/9/4/4bb9c63b-782d-47ff-b48b-fdcac26db443.png,33930,933,2023-09-04 12:13:23.831312,933,2023-09-04 12:13:23.832566
c300fc3e-df4c-41f3-9917-131344962fac,image/png,MUMBUCA_CERTIFICADO.png,/storage/bmv/certificate-template/2023/9/22/c300fc3e-df4c-41f3-9917-131344962fac.png,407310,933,2023-09-22 09:19:10.27658,933,2023-09-22 09:19:10.281299
