id,method,path,microservice,created_by,created_date,last_modified_by,last_modified_date
7295,GET,/v1/certificate-orders/me,tesouroverde,,,,
7296,GET,/v1/account/certificates,tesouroverde,,,,
7297,POST,/v1/checkout-info,tesouroverde,,,,
7298,GET,/v1/p/certificate/{value},tesouroverde,,,,
7299,GET,/v1/p/partners,tesouroverde,,,,
7300,GET,/v1/p/partners/{id:\\d+},tesouroverde,,,,
7301,GET,/v1/p/partners/{id:\\d+}/logo,tesouroverde,,,,
7302,POST,/v1/p/contact,tesouroverde,,,,
7303,GET,/v1/p/partners/{partnerId:\\d+}/campaigns,tesouroverde,,,,
7304,POST,/v1/p/webhook/billet,tesouroverde,,,,
7305,GET,/v1/p/logos/{id},tesouroverde,,,,
7306,GET,/v1/cpr,akses,,,,
7307,POST,/v1/cpr,akses,,,,
7308,GET,/v1/cpr/endorsed-account,akses,,,,
7309,GET,/v1/cpr/{cprId:\\d+},akses,,,,
7310,POST,/v1/cpr/{cprId:\\d+}/credit-card,akses,,,,
7311,POST,/v1/cpr/{cprId:\\d+}/billet,akses,,,,
7312,PATCH,/v1/cpr/{cprId:\\d+}/flagged-revoked,akses,,,,
7313,PATCH,/v1/cpr/{cprId:\\d+}/flagged-executed,akses,,,,
7314,GET,/v1/stock-availability-certificates,akses,,,,
7315,POST,/v1/stock-availability-certificates,akses,,,,
7316,GET,/v1/stock-availability-certificates/{id:\\d+},akses,,,,
7317,POST,/v1/stock-availability-certificates/{id:\\d+}/credit-card,akses,,,,
7318,POST,/v1/stock-availability-certificates/{id:\\d+}/billet,akses,,,,
7319,DELETE,/v1/stock-availability-certificates/{id:\\d+}/promo-code/remove,akses,,,,
7320,POST,/v1/stock-availability-certificates/{id:\\d+}/promo-code/apply,akses,,,,
7321,PUT,/v1/living-carbon/certificate-orders,akses,,,,
7322,GET,/v1/living-carbon/certificate-orders/{orderId:\\d+},akses,,,,
7323,GET,/v1/living-carbon/certificate-orders/{orderId:\\d+}/file/{fileId}/download,akses,,,,
7324,POST,/v1/living-carbon/certificate-orders/{orderId:\\d+}/documentation/upload,akses,,,,
