id,distribution_id,dare_code,royalties_code,royalties_total,dare_total,created_by,created_date,last_modified_by,last_modified_date,royalties_file_id,dare_file_id
300,37046,3003661677,3003661720,2.02,4041.52,0,2023-06-22 11:26:08.118302,0,2023-06-22 11:26:08.118302,e4e0af80-5171-4eb8-b2fb-6501ac80634b,7a2ab57c-3584-476d-a4e9-8f656c00acd0
301,37056,,3003661720,0.07,0.00,0,2023-06-29 16:18:50.766581,0,2023-06-29 16:18:50.766581,e4e0af80-5171-4eb8-b2fb-6501ac80634b,
302,37058,3003661703,3003661720,0.65,1299.06,0,2023-06-30 08:58:05.686209,0,2023-06-30 08:58:05.686209,e4e0af80-5171-4eb8-b2fb-6501ac80634b,222a8a51-0c39-4e5e-a8b0-205d74761553
268,36601,3003510168,3003510194,0.56,1122.16,0,2022-11-08 08:52:49.59469,0,2022-11-08 08:52:49.59469,3f6cf160-61d6-4e75-bde5-caba067d6f07,1bcc9305-2e26-4420-a5ec-bbe1554b823c
269,36602,3003510171,3003510194,0.56,1122.16,0,2022-11-08 08:52:54.601641,0,2022-11-08 08:52:54.601641,3f6cf160-61d6-4e75-bde5-caba067d6f07,58f897b7-3659-4650-b85f-45d88dd166a8
270,36603,3003510173,3003510194,1.68,3226.21,0,2022-11-08 08:52:59.709552,0,2022-11-08 08:52:59.709552,3f6cf160-61d6-4e75-bde5-caba067d6f07,146414ae-1830-4e78-96e4-8fd9eca6e778
272,36624,3003510161,3003510194,0.77,1542.97,0,2022-11-16 08:30:59.769777,0,2022-11-16 08:30:59.769777,3f6cf160-61d6-4e75-bde5-caba067d6f07,46fabd8b-c2b5-48df-b568-157862aa409f
273,36625,3003510176,3003510194,2.74,5616.00,0,2022-11-16 09:37:59.536274,0,2022-11-16 09:37:59.536274,3f6cf160-61d6-4e75-bde5-caba067d6f07,ccef3ae4-30cf-4d7c-9589-dfd1327a9337
274,36641,3003510156,3003510194,0.70,1262.43,0,2022-11-25 16:39:45.284538,0,2022-11-25 16:39:45.284538,3f6cf160-61d6-4e75-bde5-caba067d6f07,69fedc51-a0e9-47cc-88f4-0a1c2213083c
314,37228,06102023,05102023,0.41,948.15,0,2023-09-14 15:43:29.821127,0,2023-09-14 15:43:29.821127,53bd53f4-6511-4f60-be9b-869cfde6d214,3d6f9946-525a-4408-bac9-ade025823949
309,37120,3003707337,3003707351,2.84,5534.49,0,2023-08-04 11:19:00.843912,0,2023-08-04 11:19:00.843912,ee90eb40-06e0-441c-a4be-f6a4f158256b,692b98eb-db27-4807-9b0c-2a8d7a3631a2
310,37159,3003707333,3003707351,0.61,1348.80,0,2023-08-28 10:49:28.412642,0,2023-08-28 10:49:28.412642,ee90eb40-06e0-441c-a4be-f6a4f158256b,ebbf9fbf-d79d-47ea-ad37-bff5fbecd30c
303,37062,,3003683475,0.07,0.00,0,2023-07-04 13:11:10.517403,0,2023-07-04 13:11:10.517403,105070ea-9803-427a-a0ab-0349163ccf93,
