id,available_balance,reserved_balance,blocked_balance,retired_balance,user_id,updated_on,platform_id
19578,60745,0,0,0,330,2024-11-25 10:31:13.439851,4
18726,389450,0,0,0,250,2023-05-10 15:03:53.386095,2
25069,0,0,0,31,2315,2025-05-14 15:14:53.462882,3
18724,0,0,0,0,68,2022-09-06 18:17:58.325057,1
18729,13,0,0,0,1177,2023-08-25 12:05:08.087838,4
18730,0,0,7,0,302,2023-03-16 16:32:12.168962,3
18731,0,0,0,0,360,2022-09-06 18:17:58.325057,1
18727,27,0,0,0,582,2023-08-24 14:30:18.095541,4
18740,0,0,0,0,354,2022-09-06 18:17:58.325057,1
18741,0,0,0,0,651,2022-09-06 18:17:58.325057,2
18742,14,0,0,0,1204,2023-08-24 13:56:23.086822,4
18736,28,0,0,0,580,2023-08-24 14:30:18.095541,4
18745,0,0,169063,0,328,2023-03-16 16:33:37.840808,2
18749,0,0,0,1,819,2022-09-06 18:17:58.325057,3
18245,0,0,0,0,426,2024-06-18 01:28:40.822853,2
18751,0,0,17,0,516,2023-03-16 16:15:40.36336,3
18752,0,0,0,0,346,2022-09-06 18:17:58.325057,1
18753,0,0,0,1,866,2022-09-06 18:17:58.325057,3
18743,0,0,0,0,610,2022-09-06 18:17:58.325057,4
18756,0,0,0,0,274,2022-09-06 18:17:58.325057,1
18757,0,0,13,0,940,2023-03-16 16:20:41.97997,4
21976,0,0,0,2,1751,2023-09-14 16:55:25.775765,3
18759,13,0,0,0,1157,2023-08-15 10:45:43.086542,4
18399,0,3,0,0,380,2024-12-13 12:38:23.544408,3
19956,0,0,0,14,1349,2024-09-30 15:43:40.933187,3
18761,0,0,0,0,553,2022-09-06 18:17:58.325057,2
22026,0,0,0,3,1773,2023-09-15 11:01:40.772586,3
18750,2393959,0,0,0,1089,2024-04-04 17:56:11.119016,2
19435,32,0,0,0,616,2023-09-20 14:32:33.570132,2
19356,0,3,0,0,384,2024-12-13 12:38:23.544408,3
18308,0,0,0,19,902,2023-11-09 10:44:38.538074,3
23239,0,318,0,0,1401,2025-01-17 11:59:48.469828,3
23326,0,0,0,38,907,2025-01-17 11:59:48.469828,3
18733,86278,0,0,0,92,2024-11-25 10:00:23.435079,4
18703,1587,0,0,0,124,2024-11-25 10:03:43.433166,4
18701,68618,0,0,0,176,2024-11-25 10:09:13.433482,4
18424,0,0,0,81,745,2024-10-15 16:59:35.939371,3
18704,377,0,0,0,308,2024-11-25 10:28:53.436469,4
18748,196,0,0,0,316,2024-11-25 10:29:53.437344,4
18654,13201,0,0,0,336,2024-11-25 10:32:08.439096,4
18688,8562,0,0,0,384,2024-11-25 10:37:38.446973,4
18226,0,0,0,97,733,2025-03-19 18:00:03.6032,3
18723,0,250,0,0,402,2024-12-13 12:38:23.544408,3
25079,800,0,0,0,379,2025-07-11 17:18:44.537596,4
23504,0,0,0,94,2177,2024-11-28 11:33:08.457513,4
18769,0,0,342378,0,939,2023-03-16 16:16:08.657035,2
18475,0,0,0,0,587,2022-09-06 18:17:58.325057,4
18770,0,0,206825,0,318,2022-09-21 11:49:15.779363,2
18776,0,0,0,3,726,2022-09-06 18:17:58.325057,3
18783,56251,0,0,0,210,2023-08-24 11:37:15.357814,2
18779,0,0,0,1,1236,2022-09-06 18:17:58.325057,3
18782,0,0,7,0,378,2023-03-16 16:34:08.015695,3
18786,0,0,0,0,559,2022-09-06 18:17:58.325057,2
18787,499948,0,0,0,1224,2022-12-14 15:08:15.37554,4
18792,0,0,0,0,563,2023-02-06 11:05:05.148751,3
18536,0,0,0,163,794,2024-12-13 12:38:23.544408,3
18793,0,0,0,0,276,2022-09-06 18:17:58.325057,1
18796,0,0,7,0,298,2023-03-16 16:32:04.038558,3
18797,0,0,10,0,214,2023-03-16 16:30:07.264156,3
18483,0,0,0,0,500,2024-06-18 01:53:30.818961,4
18799,0,0,0,0,38,2022-09-06 18:17:58.325057,1
