id,name,description,category
254,adm:financial-bill-to-pay:edit,Permite editar uma conta a pagar.,ADM - Gestão Financeira - Contas a Pagar
255,adm:financial-bill-to-pay:delete,Permite deletar uma conta a pagar cadastrada.,ADM - Gestão Financeira - Contas a Pagar
256,adm:financial-bill-to-pay-write-offs:list,Permite listar as baixas de uma conta a pagar.,ADM - Gestão Financeira - Baixa de Conta a Pagar
257,adm:financial-bill-to-pay-write-offs:add,Permite efetuar uma nova baixa para uma conta a pagar.,ADM - Gestão Financeira - Baixa de Conta a Pagar
258,adm:financial-bill-to-pay-write-offs:edit,Permite editar uma baixa existente em uma conta a pagar.,ADM - Gestão Financeira - Baixa de Conta a Pagar
259,adm:financial-bill-to-pay-write-offs:delete,Permite remover uma baixa existente em uma conta a pagar.,ADM - Gestão Financeira - Baixa de Conta a Pagar
260,adm:financial-configurations:list,Permite visualizar as configurações do módulo financeiro.,ADM - Gestão Financeira - Configurações
261,adm:financial-configurations:edit,Permite editar as configurações do módulo financeiro.,ADM - Gestão Financeira - Configurações
262,adm:financial-remittances:list,Permite listar todas as remessas.,ADM - Gestão Financeira - Remessas
263,adm:financial-remittances:add,Permite adicionar uma nova remessa.,ADM - Gestão Financeira - Remessas
264,adm:financial-remittances:details,Permite visualizar detalhes de uma remessa.,ADM - Gestão Financeira - Remessas
265,adm:financial-remittances:edit,Permite editar informações de uma remessa.,ADM - Gestão Financeira - Remessas
266,adm:financial-remittances:delete,Permite remover uma remessa.,ADM - Gestão Financeira - Remessas
267,adm:financial-remittances:send,Permite enviar um documento de retorno da remessa para leitura.,ADM - Gestão Financeira - Remessas
268,adm:financial-remittances:read-response,Permite confirmar a baixa após a pré-visualização da remessa.,ADM - Gestão Financeira - Remessas
269,adm:financial-remittances:download,Permite baixar o arquivo REM de uma remessa.,ADM - Gestão Financeira - Remessas
270,adm:master-child-accounts:list,Permite listar os usuários vinculados a uma conta master.,ADM - Usuários - Gerenciar Contas
271,adm:master-child-accounts:add,Permite adicionar vinculo de contas a uma conta master.,ADM - Usuários - Gerenciar Contas
272,adm:master-child-accounts:delete,Permite remover os usuários vinculados a uma conta master.,ADM - Usuários - Gerenciar Contas
273,adm:blocked-ucs:list,Permite listar os bloqueios de UCS ativos no sistema.,ADM - Bloqueio de UCS
274,adm:blocked-ucs:process,Permite processar um bloqueio de UCS pendente.,ADM - Bloqueio de UCS
275,adm:blocked-ucs:add,Permite criar um novo bloqueio de UCS.,ADM - Bloqueio de UCS
276,adm:blocked-ucs:delete,Permite cancelar um bloqueio de UCS.,ADM - Bloqueio de UCS
277,adm:endpoints:list,Permite listar os endpoints e suas permissões.,ADM - Endpoints
278,adm:endpoints:details,Permite visualizar detalhes dos endpoints.,ADM - Endpoints
279,adm:endpoints:add,Permite cadastrar um endpoint e incluir suas permissões.,ADM - Endpoints
280,adm:endpoints:edit,Permite editar um endpoint e  suas permissões.,ADM - Endpoints
281,adm:endpoints:delete,Permite remover um endpoint e suas permissões.,ADM - Endpoints
282,akses:living-carbon-certificate-order:list,Permite listar todos os pedidos de certificado carbono vivo de um usuário e suas unidades,Akses - Selo Carbono Vivo
283,akses:living-carbon-certificate-order:add,Permite adicionar um novo pedido de certificado carbono vivo,Akses - Selo Carbono Vivo
284,adm:akses-living-carbon-certificate-order:list,Permite listar os Selos de Carbono vivo,ADM - Selo Carbono Vivo
285,adm:akses-living-carbon-certificate-order:change-status,Permite alterar o status de um pedido de Selo Carbono Vivo.,ADM - Selo Carbono Vivo
286,adm:akses-living-carbon-certificate-order:view-certificate,Permite visualar o certificado vinculado a um pedido de Selo Carbono Vivo,ADM - Selo Carbono Vivo
287,adm:akses-living-carbon-certificate-order:sync-nxt,Permite sincronizar o nxt para pedidos de Selo Carbono Vivo,ADM - Selo Carbono Vivo
288,adm:akses-living-carbon-certificate-order:mark-documentation-as-viewed,Permite marcar a documentação de um pedido Selo Carbono Vivo como visualizada.,ADM - Selo Carbono Vivo
289,adm:akses-living-carbon-certificate-order:send-nxt,Permite enviar o NXT para um pedido Selo Carbono Vivo.,ADM - Selo Carbono Vivo
290,adm:akses-living-carbon-certificate-order:analyze-documentation,Permite substituir um arquivo da documentação de um pedido Selo Carbono Vivo.,ADM - Selo Carbono Vivo
291,akses:accounts-receivable:list,Permite listar as contas a receber de um usuário,Akses - Contas a Receber
292,adm:financial-participants:sync-users,Permite sincronizar os cadastros de usuários com os cadastros de participantes.,ADM - Gestão Financeira
293,adm:financial-participants:sync-accounts,Permite sincronizar as informações bancárias de participantes que diferem das informações cadastradas pelo usuário de mesmo documento.,ADM - Gestão Financeira
294,adm:reports:general-sales,Permite a emissão do relatório financeiro de vendas gerais (Repasse ao Fornecedor),ADM - Relatórios
295,akses:advanced-payments:list,Permite listar os adiantamentos de um produtor,Akses - Adiantamentos
296,adm:client-api:list,Permite listar tokens cadastrados para clientes de integração.,ADM - Tokens de Integração
297,adm:client-api:add,Permite adicionar um novo token para um cliente de integração.,ADM - Tokens de Integração
298,adm:client-api:change-status,Permite alterar o status de um token de integração.,ADM - Tokens de Integração
299,adm:client-api:delete,Permite remover um token de integração de um cliente.,ADM - Tokens de Integração
300,adm:financial-bill-to-pay:export,Permite exportar em formato CSV dados das Contas a Pagar cadastradas no sistema.,ADM - Gestão Financeira - Contas a Pagar
301,adm:promo-codes:list,Permite listar todos os cupons cadastrados no sistema.,ADM - Cupons de Desconto
302,adm:promo-codes:add,Permite adicionar um novo cupom de desconto.,ADM - Cupons de Desconto
303,adm:promo-codes:edit,Permite editar um cupom de desconto existente.,ADM - Cupons de Desconto
304,adm:promo-codes:details,Permite visualizar detalhes de um cupom de desconto específico.,ADM - Cupons de Desconto
305,adm:promo-codes:delete,Permite deletar um cupom de desconto.,ADM - Cupons de Desconto
306,adm:promo-codes:change-status,Permite ativar/inativar um cupom de desconto.,ADM - Cupons de Desconto
307,adm:commission:list,Permite listar todas as comissões configuradas no sistema.,ADM - Comissões
308,adm:commission:add,Permite cadastrar uma nova configuração de comissões.,ADM - Comissões
309,adm:commission:edit,Permite editar uma configuração de comissão existente.,ADM - Comissões
310,adm:commission:details,Permite visualizar detalhes de uma configuração de comissões específicas.,ADM - Comissões
311,adm:akses-purchase-order:apply-discount,Permite aplicar um cupom de desconto ou definir um valor de desconto avulso para Pedidos de Compra.,ADM - Gestão de pedidos de compra
312,adm:akses-transfer-order:apply-discount,Permite aplicar um cupom de desconto ou definir um valor de desconto avulso para Pedidos de Transferência.,ADM - Gestão de pedidos de transferência
