id,register_bank_type,account,account_type,dv_account,description,agency,dv_agency,agency_name,status,bank_id,branch_id,created_by,created_date,last_modified_by,last_modified_date
2,BANK,038795,INDIVIDUAL_CHECKING_ACCOUNT,9,Pagamento de Fornecedores (Ativos UCS),2274,8,Fornecedores,ACTIVE,78,1,890,2022-09-13 15:05:43.553216,933,2022-09-23 08:44:44.057069
1,BANK,038793,INDIVIDUAL_CHECKING_ACCOUNT,2,Pagamento de contas em geral,2274,8,Contas em geral,ACTIVE,78,1,890,2022-09-13 15:04:23.50986,933,2022-09-23 08:44:49.261928
