id,remittance_id,bill_to_pay_id,transfer_to_id,variation,created_by,created_date,last_modified_by,last_modified_date
774,86,145,304,0.00,890,2022-11-10 11:19:29.928244,890,2022-11-10 11:19:29.928244
775,86,442,210,0.00,890,2022-11-10 11:19:29.928869,890,2022-11-10 11:19:29.928869
776,86,455,318,0.00,890,2022-11-10 11:19:29.929681,890,2022-11-10 11:19:29.929681
2477,208,1362,102,0.00,890,2023-01-11 12:32:37.047786,890,2023-01-11 12:32:37.047786
778,87,511,370,0.00,890,2022-11-10 12:19:48.28982,890,2022-11-10 12:19:48.28982
953,123,868,41,0.00,890,2022-12-05 12:58:50.111697,890,2022-12-05 12:58:50.111697
780,89,650,407,0.00,890,2022-11-10 14:18:59.889395,890,2022-11-10 14:18:59.889395
954,123,871,440,0.00,890,2022-12-05 12:58:50.112798,890,2022-12-05 12:58:50.112798
971,124,873,428,0.00,890,2022-12-06 08:18:33.535242,890,2022-12-06 08:18:33.535242
972,124,874,406,0.00,890,2022-12-06 08:18:33.53579,890,2022-12-06 08:18:33.53579
973,124,878,85,0.00,890,2022-12-06 08:18:33.536355,890,2022-12-06 08:18:33.536355
974,124,875,421,0.00,890,2022-12-06 08:18:33.536856,890,2022-12-06 08:18:33.536856
786,90,653,44,0.00,890,2022-11-11 12:02:13.325436,890,2022-11-11 12:02:13.325436
787,90,657,43,0.00,890,2022-11-11 12:02:13.326457,890,2022-11-11 12:02:13.326457
788,90,652,408,0.00,890,2022-11-11 12:02:13.32684,890,2022-11-11 12:02:13.32684
789,90,651,96,0.00,890,2022-11-11 12:02:13.327203,890,2022-11-11 12:02:13.327203
790,90,656,41,0.00,890,2022-11-11 12:02:13.327534,890,2022-11-11 12:02:13.327534
975,124,881,86,0.00,890,2022-12-06 08:18:33.538386,890,2022-12-06 08:18:33.538386
976,124,883,392,0.00,890,2022-12-06 08:18:33.53928,890,2022-12-06 08:18:33.53928
793,91,659,409,0.00,890,2022-11-11 13:31:38.871352,890,2022-11-11 13:31:38.871352
794,91,658,409,0.00,890,2022-11-11 13:31:38.872272,890,2022-11-11 13:31:38.872272
977,124,877,405,0.00,890,2022-12-06 08:18:33.540575,890,2022-12-06 08:18:33.540575
978,124,886,403,0.00,890,2022-12-06 08:18:33.541077,890,2022-12-06 08:18:33.541077
797,92,662,108,0.00,890,2022-11-14 10:25:06.088083,890,2022-11-14 10:25:06.088083
798,92,661,93,0.00,890,2022-11-14 10:25:06.089322,890,2022-11-14 10:25:06.089322
979,124,879,434,0.00,890,2022-12-06 08:18:33.541578,890,2022-12-06 08:18:33.541578
800,93,666,112,0.00,890,2022-11-14 10:32:52.09645,890,2022-11-14 10:32:52.09645
980,124,884,37,0.00,890,2022-12-06 08:18:33.542126,890,2022-12-06 08:18:33.542126
806,95,708,97,0.00,890,2022-11-17 10:10:53.53591,890,2022-11-17 10:10:53.53591
807,95,710,415,0.00,890,2022-11-17 10:10:53.536836,890,2022-11-17 10:10:53.536836
808,95,707,44,0.00,890,2022-11-17 10:10:53.537713,890,2022-11-17 10:10:53.537713
809,95,709,416,0.00,890,2022-11-17 10:10:53.53854,890,2022-11-17 10:10:53.53854
810,95,706,414,0.00,890,2022-11-17 10:10:53.539301,890,2022-11-17 10:10:53.539301
818,96,715,35,0.00,890,2022-11-17 14:35:36.957188,890,2022-11-17 14:35:36.957188
819,96,712,35,0.00,890,2022-11-17 14:35:36.958265,890,2022-11-17 14:35:36.958265
820,96,714,35,0.00,890,2022-11-17 14:35:36.959165,890,2022-11-17 14:35:36.959165
821,96,711,35,0.00,890,2022-11-17 14:35:36.959909,890,2022-11-17 14:35:36.959909
822,96,713,35,0.00,890,2022-11-17 14:35:36.962366,890,2022-11-17 14:35:36.962366
823,97,717,417,0.00,890,2022-11-17 14:36:03.606453,890,2022-11-17 14:36:03.606453
824,97,716,417,0.00,890,2022-11-17 14:36:03.607394,890,2022-11-17 14:36:03.607394
826,98,747,106,0.00,890,2022-11-21 10:09:59.62322,890,2022-11-21 10:09:59.62322
828,99,751,357,0.00,890,2022-11-21 11:19:37.628776,890,2022-11-21 11:19:37.628776
833,100,750,311,0.00,890,2022-11-21 11:25:28.340045,890,2022-11-21 11:25:28.340045
834,100,749,310,0.00,890,2022-11-21 11:25:28.341076,890,2022-11-21 11:25:28.341076
