id,created_by,created_date,last_modified_by,last_modified_date,role,status,user_id
1235,933,2022-04-18 17:16:34.867707,933,2022-04-18 17:16:34.867707,CREDENTIALED_DISTRIBUTOR,ACTIVE,434
2,1,2021-01-26 15:32:03.875472,1,2021-01-26 15:32:03.875472,CUSTOMER,ACTIVE,1
3,1,2021-01-26 15:32:03.875472,1,2021-01-26 15:32:03.875472,IMEI,ACTIVE,2
4,1,2021-01-26 15:32:03.875472,1,2021-01-26 15:32:03.875472,CUSTOMER,ACTIVE,2
5,1,2021-01-26 15:32:03.875472,1,2021-01-26 15:32:03.875472,USER_AKSES,ACTIVE,3
6,1,2021-01-26 15:32:03.875472,1,2021-01-26 15:32:03.875472,CUSTOMER,ACTIVE,3
7,1,2021-01-26 15:32:03.875472,1,2021-01-26 15:32:03.875472,CUSTOMER,ACTIVE,4
8,1,2021-01-26 15:32:03.883467,1,2021-01-26 15:32:03.883467,PRODUCER,ACTIVE,4
9,1,2021-01-26 15:32:04.027056,1,2021-01-26 15:32:04.027056,CUSTOMER,ACTIVE,5
10,1,2021-01-26 15:32:04.034235,1,2021-01-26 15:32:04.034235,PRODUCER,ACTIVE,5
11,1,2021-01-26 15:32:04.178102,1,2021-01-26 15:32:04.178102,CUSTOMER,ACTIVE,6
12,1,2021-01-26 15:32:04.186596,1,2021-01-26 15:32:04.186596,PRODUCER,ACTIVE,6
13,1,2021-01-26 15:32:04.305432,1,2021-01-26 15:32:04.305432,CUSTOMER,ACTIVE,7
14,1,2021-01-26 15:32:04.313943,1,2021-01-26 15:32:04.313943,PRODUCER,ACTIVE,7
15,1,2021-01-26 15:32:04.458836,1,2021-01-26 15:32:04.458836,CUSTOMER,ACTIVE,8
16,1,2021-01-26 15:32:04.466604,1,2021-01-26 15:32:04.466604,PRODUCER,ACTIVE,8
17,1,2021-01-26 15:32:04.612644,1,2021-01-26 15:32:04.612644,CUSTOMER,ACTIVE,9
18,1,2021-01-26 15:32:04.620054,1,2021-01-26 15:32:04.620054,PRODUCER,ACTIVE,9
21,1,2021-01-26 15:32:04.861132,1,2021-01-26 15:32:04.861132,CUSTOMER,ACTIVE,11
22,1,2021-01-26 15:32:04.869234,1,2021-01-26 15:32:04.869234,PRODUCER,ACTIVE,11
23,1,2021-01-26 15:32:05.007437,1,2021-01-26 15:32:05.007437,CUSTOMER,ACTIVE,12
24,1,2021-01-26 15:32:05.013315,1,2021-01-26 15:32:05.013315,PRODUCER,ACTIVE,12
25,1,2021-01-26 15:32:05.126178,1,2021-01-26 15:32:05.126178,CUSTOMER,ACTIVE,13
26,1,2021-01-26 15:32:05.132754,1,2021-01-26 15:32:05.132754,PRODUCER,ACTIVE,13
27,1,2021-01-26 15:32:05.244704,1,2021-01-26 15:32:05.244704,CUSTOMER,ACTIVE,14
28,1,2021-01-26 15:32:05.250283,1,2021-01-26 15:32:05.250283,PRODUCER,ACTIVE,14
29,1,2021-01-26 15:32:05.388601,1,2021-01-26 15:32:05.388601,CUSTOMER,ACTIVE,15
30,1,2021-01-26 15:32:05.394149,1,2021-01-26 15:32:05.394149,PRODUCER,ACTIVE,15
31,1,2021-01-26 15:32:05.528394,1,2021-01-26 15:32:05.528394,CUSTOMER,ACTIVE,16
32,1,2021-01-26 15:32:05.533456,1,2021-01-26 15:32:05.533456,PRODUCER,ACTIVE,16
33,1,2021-01-26 15:32:05.67233,1,2021-01-26 15:32:05.67233,CUSTOMER,ACTIVE,17
34,1,2021-01-26 15:32:05.677395,1,2021-01-26 15:32:05.677395,PRODUCER,ACTIVE,17
