id,issuer_id,recipient_id,ucs_transfer_amount,distribution_id,status,observations,created_by,created_date,last_modified_by,last_modified_date,reason_description,type_reason,origin_platform_id,recipient_platform_id
951,3,400,19982,38914,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 18741",933,2023-07-06 18:56:24.132003,933,2024-11-25 08:58:50.697713,,,4,4
1609,3,232,35876,38244,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 10070",933,2023-07-06 20:28:16.29149,933,2024-11-25 08:56:27.365361,,,4,4
1162,3,402,15,38641,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 18822",933,2023-07-06 19:26:10.459809,0,2024-11-25 08:58:49.770181,,,4,4
1242,3,402,5361,38599,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 27661",933,2023-07-06 19:37:25.657631,933,2024-11-25 08:58:50.701217,,,4,4
1247,3,10,2688,38611,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 27321",933,2023-07-06 19:38:08.07514,0,2024-11-25 08:58:50.24495,,,4,4
1171,3,402,1216,38638,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 27590",933,2023-07-06 19:27:26.637262,0,2024-11-25 08:58:49.519697,,,4,4
1173,3,402,1606,38630,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 27592",933,2023-07-06 19:27:43.597787,0,2024-11-25 08:58:49.459688,,,4,4
1172,3,402,1568,38634,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 27591",933,2023-07-06 19:27:35.210058,0,2024-11-25 08:58:49.498091,,,4,4
1168,3,402,4480,38632,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 18828",933,2023-07-06 19:27:01.265036,0,2024-11-25 08:58:49.585868,,,4,4
1170,3,402,28,38639,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 27589",933,2023-07-06 19:27:18.264197,0,2024-11-25 08:58:49.535136,,,4,4
