id,created_by,created_date,last_modified_by,last_modified_date,amount,registered_on,year,area_id,platform_id,producer_certificate_platform_id
45,1,2011-07-02 00:00:00,,,106551,2011-07-02 00:00:00,2010,45,,4
46,1,2011-07-02 00:00:00,,,118924,2011-07-02 00:00:00,2010,46,,4
47,1,2011-07-02 00:00:00,,,300107,2011-07-02 00:00:00,2010,47,,4
48,1,2011-07-02 00:00:00,,,144968,2011-07-02 00:00:00,2010,48,,4
49,1,2011-07-02 00:00:00,,,1406915,2011-07-02 00:00:00,2010,49,,4
50,1,2011-07-02 00:00:00,,,286877,2011-07-02 00:00:00,2010,50,,4
51,1,2011-07-02 00:00:00,,,671912,2011-07-02 00:00:00,2010,51,,4
52,1,2011-07-02 00:00:00,,,1210669,2011-07-02 00:00:00,2010,52,,4
53,1,2011-07-02 00:00:00,,,1741120,2011-07-02 00:00:00,2010,53,,4
54,1,2011-07-02 00:00:00,,,1555629,2011-07-02 00:00:00,2010,54,,4
55,1,2011-07-02 00:00:00,,,1377831,2011-07-02 00:00:00,2010,55,,4
56,1,2011-07-02 00:00:00,,,275218,2011-07-02 00:00:00,2010,56,,4
57,1,2011-07-02 00:00:00,,,2099424,2011-07-02 00:00:00,2010,57,,4
58,1,2011-07-02 00:00:00,,,111702,2011-07-02 00:00:00,2010,58,,4
59,1,2011-07-02 00:00:00,,,2326071,2011-07-02 00:00:00,2010,59,,4
60,1,2011-07-02 00:00:00,,,980051,2011-07-02 00:00:00,2010,60,,4
61,1,2011-07-02 00:00:00,,,7372366,2011-07-02 00:00:00,2010,61,,4
62,1,2011-07-02 00:00:00,,,374296,2011-07-02 00:00:00,2010,62,,4
63,1,2011-07-02 00:00:00,,,820822,2011-07-02 00:00:00,2010,63,,4
64,1,2011-07-02 00:00:00,,,1480431,2011-07-02 00:00:00,2010,65,,4
65,1,2011-07-02 00:00:00,,,12082,2011-07-02 00:00:00,2010,66,,4
66,1,2011-07-02 00:00:00,,,525671,2011-07-02 00:00:00,2010,67,,4
67,1,2011-07-02 00:00:00,,,677806,2011-07-02 00:00:00,2010,68,,4
68,1,2011-07-02 00:00:00,,,694427,2011-07-02 00:00:00,2010,69,,4
69,1,2011-07-02 00:00:00,,,1621845,2011-07-02 00:00:00,2010,70,,4
70,1,2011-07-02 00:00:00,,,872193,2011-07-02 00:00:00,2010,71,,4
71,1,2011-07-02 00:00:00,,,760817,2011-07-02 00:00:00,2010,72,,4
72,1,2011-07-02 00:00:00,,,21473,2011-07-02 00:00:00,2010,73,,4
73,1,2011-07-02 00:00:00,,,539440,2011-07-02 00:00:00,2010,74,,4
74,1,2011-07-02 00:00:00,,,3336259,2011-07-02 00:00:00,2010,75,,4
75,1,2011-07-02 00:00:00,,,1997403,2011-07-02 00:00:00,2010,76,,4
76,1,2011-07-02 00:00:00,,,44419,2011-07-02 00:00:00,2010,77,,4
77,1,2011-07-02 00:00:00,,,78653,2011-07-02 00:00:00,2010,78,,4
78,1,2011-07-02 00:00:00,,,62333,2011-07-02 00:00:00,2010,79,,4
79,1,2011-07-02 00:00:00,,,13960,2011-07-02 00:00:00,2010,80,,4
80,1,2011-07-02 00:00:00,,,226553,2011-07-02 00:00:00,2010,81,,4
81,1,2011-07-02 00:00:00,,,273913,2011-07-02 00:00:00,2010,82,,4
82,1,2011-07-02 00:00:00,,,171875,2011-07-02 00:00:00,2010,83,,4
83,1,2011-07-02 00:00:00,,,32005,2011-07-02 00:00:00,2010,84,,4
84,1,2011-07-02 00:00:00,,,166960,2011-07-02 00:00:00,2010,85,,4
85,1,2011-07-02 00:00:00,,,5173,2011-07-02 00:00:00,2010,86,,4
86,1,2011-07-02 00:00:00,,,34263,2011-07-02 00:00:00,2010,87,,4
87,1,2011-07-02 00:00:00,,,187586,2011-07-02 00:00:00,2010,88,,4
88,1,2011-07-02 00:00:00,,,7841,2011-07-02 00:00:00,2010,89,,4
89,1,2011-07-02 00:00:00,,,2467,2011-07-02 00:00:00,2010,90,,4
90,1,2011-07-02 00:00:00,,,93456,2011-07-02 00:00:00,2010,91,,4
91,1,2011-07-02 00:00:00,,,95326,2011-07-02 00:00:00,2010,92,,4
92,1,2011-07-02 00:00:00,,,41758,2011-07-02 00:00:00,2010,93,,4
93,1,2011-07-02 00:00:00,,,189255,2011-07-02 00:00:00,2010,94,,4
94,1,2011-07-02 00:00:00,,,482098,2011-07-02 00:00:00,2010,95,,4
95,1,2011-07-02 00:00:00,,,856181,2011-07-02 00:00:00,2010,96,,4
96,1,2011-07-02 00:00:00,,,5812,2011-07-02 00:00:00,2010,97,,4
97,1,2011-07-02 00:00:00,,,75449,2011-07-02 00:00:00,2010,98,,4
98,1,2011-07-02 00:00:00,,,218513,2011-07-02 00:00:00,2010,99,,4
99,1,2011-07-02 00:00:00,,,2685,2011-07-02 00:00:00,2010,100,,4
100,1,2011-07-02 00:00:00,,,56953,2011-07-02 00:00:00,2010,101,,4
101,1,2011-07-02 00:00:00,,,27166,2011-07-02 00:00:00,2010,102,,4
102,1,2011-07-02 00:00:00,,,38687,2011-07-02 00:00:00,2010,103,,4
103,1,2011-07-02 00:00:00,,,14956,2011-07-02 00:00:00,2010,104,,4
104,1,2011-07-02 00:00:00,,,20315,2011-07-02 00:00:00,2010,105,,4
105,1,2011-07-02 00:00:00,,,2332792,2011-07-02 00:00:00,2010,106,,4
106,1,2011-07-02 00:00:00,,,400574,2011-07-02 00:00:00,2010,107,,4
107,1,2011-07-02 00:00:00,,,196646,2011-07-02 00:00:00,2010,108,,4
108,1,2011-07-02 00:00:00,,,14328,2011-07-02 00:00:00,2010,109,,4
109,1,2011-07-02 00:00:00,,,43628,2011-07-02 00:00:00,2010,110,,4
110,1,2011-07-02 00:00:00,,,10993,2011-07-02 00:00:00,2010,111,,4
111,1,2011-07-02 00:00:00,,,126098,2011-07-02 00:00:00,2010,112,,4
112,1,2011-07-02 00:00:00,,,76606,2011-07-02 00:00:00,2010,113,,4
113,1,2011-07-02 00:00:00,,,661713,2011-07-02 00:00:00,2010,114,,4
114,1,2011-07-02 00:00:00,,,1443613,2011-07-02 00:00:00,2010,115,,4
115,1,2011-07-02 00:00:00,,,324083,2011-07-02 00:00:00,2010,116,,4
116,1,2011-07-02 00:00:00,,,46184,2011-07-02 00:00:00,2010,117,,4
117,1,2011-07-02 00:00:00,,,384739,2011-07-02 00:00:00,2010,118,,4
118,1,2011-07-02 00:00:00,,,193245,2011-07-02 00:00:00,2010,119,,4
119,1,2011-07-02 00:00:00,,,1638430,2011-07-02 00:00:00,2010,120,,4
120,1,2011-07-02 00:00:00,,,63317,2011-07-02 00:00:00,2010,121,,4
121,1,2011-07-02 00:00:00,,,12722,2011-07-02 00:00:00,2010,122,,4
122,1,2011-07-02 00:00:00,,,8828,2011-07-02 00:00:00,2010,123,,4
123,1,2011-07-02 00:00:00,,,11174,2011-07-02 00:00:00,2010,124,,4
124,1,2011-07-02 00:00:00,,,249456,2011-07-02 00:00:00,2010,125,,4
125,1,2011-07-02 00:00:00,,,97831,2011-07-02 00:00:00,2010,127,,4
126,1,2011-07-02 00:00:00,,,168871,2011-07-02 00:00:00,2010,126,,4
127,1,2011-07-02 00:00:00,,,4950,2011-07-02 00:00:00,2010,128,,4
128,1,2011-07-02 00:00:00,,,584268,2011-07-02 00:00:00,2010,129,,4
129,1,2011-07-02 00:00:00,,,44101,2011-07-02 00:00:00,2010,130,,4
130,1,2011-07-02 00:00:00,,,2369789,2011-07-02 00:00:00,2010,131,,4
131,1,2011-07-02 00:00:00,,,932533,2011-07-02 00:00:00,2010,132,,4
132,1,2011-07-02 00:00:00,,,1203570,2011-07-02 00:00:00,2010,133,,4
133,1,2011-07-02 00:00:00,,,77522,2011-07-02 00:00:00,2010,134,,4
134,1,2011-07-02 00:00:00,,,603429,2011-07-02 00:00:00,2010,135,,4
135,1,2011-07-02 00:00:00,,,32821,2011-07-02 00:00:00,2010,136,,4
136,1,2011-07-02 00:00:00,,,414501,2011-07-02 00:00:00,2010,137,,4
137,1,2011-07-02 00:00:00,,,159521,2011-07-02 00:00:00,2010,138,,4
138,1,2011-07-02 00:00:00,,,73239,2011-07-02 00:00:00,2010,139,,4
139,1,2011-07-02 00:00:00,,,30116,2011-07-02 00:00:00,2010,140,,4
140,1,2011-07-02 00:00:00,,,20849,2011-07-02 00:00:00,2010,141,,4
141,1,2011-07-02 00:00:00,,,1077,2011-07-02 00:00:00,2010,142,,4
142,1,2011-07-02 00:00:00,,,1123,2011-07-02 00:00:00,2010,143,,4
143,1,2011-07-02 00:00:00,,,7532,2011-07-02 00:00:00,2010,144,,4
