id,abbreviation,name
1,DCPPUB,DCPPUB - Documento de Compêndio do Projeto / Project Compendium Document (Público / Public)
2,PDS,PDS - Plano de Desenvolvimento Sustentável / Sustainable Development Plan (Privado / Private)
3,RELUNESP,Relatório UNESP / UNESP Report 
4,RELEY,Relatório EY / EY Report
5,CPR,Registro Cartório / Registry in Notary
6,CETIP,Registro Bolsa de Mercado de Capitais (CETIP) / Exchange Stock Registration
7,DOCSKR,Documento SKR / SKR Document
