id,ucs_transfer_amount,issuer_id,recipient_id,distribution_id,ownership_transfer_type_id,status,retired,negotiated_total,created_by,created_date,last_modified_by,last_modified_date,reason_description,type_reason,nxt_id,year,origin_platform_id,recipient_platform_id
291,79354,3,834,37291,9,PROCESSED,f,,933,2023-09-16 18:28:44.547192,933,2023-09-16 18:28:49.717778,,,,,1,2
293,506040,3,1090,37299,9,PROCESSED,f,,933,2023-09-16 18:30:07.823432,933,2023-09-16 18:30:40.965491,,,,,1,2
290,238064,3,1088,37292,9,PROCESSED,f,,933,2023-09-16 18:28:35.436504,933,2023-09-16 18:28:54.6474,,,,,1,2
292,506040,3,1089,37300,9,PROCESSED,f,,933,2023-09-16 18:29:58.806118,933,2023-09-16 18:30:45.873417,,,,,1,2
289,476129,3,1090,37293,9,PROCESSED,f,,933,2023-09-16 18:28:26.296946,933,2023-09-16 18:28:59.580433,,,,,1,2
288,476129,3,1089,37294,9,PROCESSED,f,,933,2023-09-16 18:28:17.217743,933,2023-09-16 18:29:04.470854,,,,,1,2
299,29290,3,834,37303,9,PROCESSED,f,,933,2023-09-16 18:32:07.536751,933,2023-09-16 18:32:12.73126,,,,,1,2
298,87869,3,1088,37304,9,PROCESSED,f,,933,2023-09-16 18:31:58.493757,933,2023-09-16 18:32:17.630547,,,,,1,2
303,20862,3,834,37309,9,PROCESSED,f,,933,2023-09-16 18:33:49.117641,933,2023-09-16 18:33:54.261038,,,,,1,2
302,62587,3,1088,37310,9,PROCESSED,f,,933,2023-09-16 18:33:40.000749,933,2023-09-16 18:33:59.188054,,,,,1,2
311,4458,3,834,37321,9,PROCESSED,f,,933,2023-09-16 18:37:11.994842,933,2023-09-16 18:37:17.15479,,,,,1,2
309,26758,3,1090,37323,9,PROCESSED,f,,933,2023-09-16 18:36:53.747958,933,2023-09-16 18:37:26.982716,,,,,1,2
313,70000,3,1827,37339,11,PROCESSED,f,,918,2023-09-21 09:47:30.307484,918,2023-09-21 10:19:20.07856,,,,2010,2,2
304,95509,3,1089,37318,9,PROCESSED,f,,933,2023-09-16 18:35:03.390583,933,2023-09-16 18:35:50.387225,,,,,1,2
306,47755,3,1088,37316,9,PROCESSED,f,,933,2023-09-16 18:35:21.4486,933,2023-09-16 18:35:40.571453,,,,,1,2
312,15919,3,834,37328,9,PROCESSED,f,,933,2023-09-16 20:14:23.458214,933,2023-09-16 20:14:28.839436,,,,,1,2
310,13379,3,1088,37322,9,PROCESSED,f,,933,2023-09-16 18:37:02.860814,933,2023-09-16 18:37:22.039459,,,,,1,2
308,26758,3,1089,37324,9,PROCESSED,f,,933,2023-09-16 18:36:44.686491,933,2023-09-16 18:37:31.926439,,,,,1,2
315,400,3,1398,37340,12,PROCESSED,f,,918,2023-09-26 09:49:02.926938,918,2023-09-26 09:49:10.197891,,,,,4,4
314,200000,3,850,37341,10,PROCESSED,f,,918,2023-09-25 10:00:53.041331,851,2023-09-26 10:29:10.723803,,,,,4,4
321,10,3,1533,37388,14,PROCESSED,f,,918,2023-10-10 09:44:05.72046,851,2023-10-11 09:29:41.058541,,,,2010,2,2
320,10,3,1487,37389,14,PROCESSED,f,,918,2023-10-10 09:43:16.144886,851,2023-10-11 09:29:46.335923,,,,2010,2,2
319,10,3,1730,37390,14,PROCESSED,f,,918,2023-10-10 09:42:46.294044,851,2023-10-11 09:29:51.588136,,,,2010,2,2
316,320833,3,1109,37391,7,PROCESSED,f,,918,2023-10-10 09:40:37.843288,851,2023-10-11 09:29:58.540186,,,,2010,2,2
317,16667,3,922,37392,1,PROCESSED,f,,918,2023-10-10 09:41:22.43068,851,2023-10-11 09:30:03.751498,,,,2010,2,2
318,500,3,1489,37393,15,PROCESSED,f,,918,2023-10-10 09:42:03.129545,851,2023-10-11 09:30:08.814587,,,,2010,2,2
351,16667,3,922,37522,1,PROCESSED,f,,918,2024-02-01 09:59:02.108248,918,2024-02-16 08:06:50.212931,,,,2010,2,2
355,10,3,1533,37518,14,PROCESSED,f,,918,2024-02-07 09:56:52.707932,918,2024-02-16 08:06:27.746171,,,,2010,2,2
324,300,3,1691,37385,19,PROCESSED,f,,918,2023-10-10 10:32:37.408069,851,2023-10-11 09:29:01.273693,,,,2010,2,2
331,16667,3,922,37442,1,PROCESSED,f,,918,2023-11-07 08:53:37.720396,851,2023-11-10 17:02:47.145355,,,,2010,2,2
322,560,3,1501,37386,16,PROCESSED,f,,918,2023-10-10 09:44:37.260511,851,2023-10-11 09:29:25.448021,,,,2010,2,2
341,500,3,1489,37469,15,PROCESSED,f,,918,2023-12-07 11:30:19.725375,918,2023-12-11 14:21:58.975204,,,,2010,2,2
349,10,3,1487,37486,14,PROCESSED,f,,918,2024-01-08 09:26:47.163688,918,2024-01-09 18:25:32.228148,,,,2010,2,2
323,16667,3,919,37387,17,PROCESSED,f,,918,2023-10-10 09:48:49.331197,851,2023-10-11 09:29:32.422915,,,,2010,2,2
330,320833,3,1109,37443,7,PROCESSED,f,,918,2023-11-07 08:53:06.528979,851,2023-11-10 17:02:54.558294,,,,2010,2,2
325,16667,3,919,37394,17,PROCESSED,f,,918,2023-10-16 10:09:07.250246,918,2023-10-16 10:10:09.056876,,,,2010,2,2
340,16667,3,922,37470,1,PROCESSED,f,,918,2023-12-07 11:29:51.812059,918,2023-12-11 14:22:05.265048,,,,2010,2,2
332,500,3,1489,37444,15,PROCESSED,f,,918,2023-11-07 08:54:07.124422,851,2023-11-10 17:02:59.3215,,,,2010,2,2
327,171707,3,1891,37411,11,PROCESSED,f,,918,2023-10-27 13:52:32.445885,918,2023-10-27 15:56:53.431515,,,,2010,2,2
364,1548,3,2008,37571,11,PROCESSED,f,,918,2024-04-04 12:21:34.956425,0,2024-04-04 14:56:04.802484,,,,2010,2,2
348,10,3,1730,37487,14,PROCESSED,f,,918,2024-01-08 09:26:24.820398,918,2024-01-09 18:25:38.074199,,,,2010,2,2
326,515122,3,1882,37412,11,PROCESSED,f,,918,2023-10-26 10:59:59.469351,918,2023-10-27 15:56:59.317744,,,,2010,2,2
333,10,3,1487,37445,14,PROCESSED,f,,918,2023-11-07 15:51:57.838205,851,2023-11-10 17:03:04.603886,,,,2010,2,2
339,8334,3,919,37471,17,PROCESSED,f,,918,2023-11-22 16:04:37.688011,918,2023-12-11 14:22:10.893391,,,,2010,2,2
328,171707,3,1894,37413,11,PROCESSED,f,,918,2023-10-27 16:14:54.654848,918,2023-10-27 16:43:20.935189,,,,2010,2,2
354,10,3,1487,37519,14,PROCESSED,f,,918,2024-02-05 11:23:15.263754,918,2024-02-16 08:06:34.24412,,,,2010,2,2
335,10,3,1533,37446,14,PROCESSED,f,,918,2023-11-08 08:19:42.479009,851,2023-11-10 17:03:09.989066,,,,2010,2,2
329,171707,3,1896,37415,11,PROCESSED,f,,918,2023-10-27 16:52:29.897064,918,2023-10-27 16:52:37.044372,,,,2010,2,2
337,300,3,1691,37439,19,PROCESSED,f,,918,2023-11-09 16:42:40.76863,851,2023-11-10 17:02:26.790027,,,,2010,2,2
334,10,3,1730,37440,14,PROCESSED,f,,918,2023-11-07 15:52:26.252489,851,2023-11-10 17:02:32.596791,,,,2010,2,2
336,16667,3,919,37441,9,PROCESSED,f,,918,2023-11-08 10:14:51.593649,851,2023-11-10 17:02:39.370031,,,,2010,2,2
338,100,3,1691,37472,19,PROCESSED,f,,918,2023-11-22 16:03:11.128061,918,2023-12-11 14:22:15.824108,,,,2010,2,2
344,10,3,1533,37466,14,PROCESSED,f,,918,2023-12-07 11:32:09.836122,918,2023-12-11 14:21:42.199245,,,,2010,2,2
347,500,3,1489,37488,15,PROCESSED,f,,918,2024-01-08 09:24:55.560052,918,2024-01-09 18:25:43.963476,,,,2010,2,2
343,10,3,1730,37467,14,PROCESSED,f,,918,2023-12-07 11:31:28.513428,918,2023-12-11 14:21:48.070367,,,,2010,2,2
