id,data,transaction_id,status,ref
46,,MIGRACAO_092,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
47,,MIGRACAO_094,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
48,,MIGRACAO_096,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
49,,MIGRACAO_098,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
50,,MIGRACAO_100,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
51,,MIGRACAO_102,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
52,,MIGRACAO_104,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
53,,MIGRACAO_106,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
54,,MIGRACAO_108,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
55,,MIGRACAO_110,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
56,,MIGRACAO_112,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
57,,MIGRACAO_114,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
58,,MIGRACAO_116,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
59,,MIGRACAO_118,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
60,,MIGRACAO_120,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
61,,MIGRACAO_122,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
62,,MIGRACAO_124,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
63,,MIGRACAO_126,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
64,,MIGRACAO_128,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
65,,MIGRACAO_130,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
66,,MIGRACAO_132,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
67,,MIGRACAO_134,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
68,,MIGRACAO_136,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
69,,MIGRACAO_138,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
70,,MIGRACAO_140,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
71,,MIGRACAO_142,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
72,,MIGRACAO_144,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
73,,MIGRACAO_146,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
74,,MIGRACAO_148,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
75,,MIGRACAO_150,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
76,,MIGRACAO_152,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
77,,MIGRACAO_154,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
78,,MIGRACAO_156,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
79,,MIGRACAO_158,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
80,,MIGRACAO_160,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
81,,MIGRACAO_162,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
82,,MIGRACAO_164,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
83,,MIGRACAO_166,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
84,,MIGRACAO_168,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
85,,MIGRACAO_170,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
86,,MIGRACAO_172,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
87,,MIGRACAO_174,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
88,,MIGRACAO_176,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
89,,MIGRACAO_178,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
90,,MIGRACAO_180,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
91,,MIGRACAO_182,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
92,,MIGRACAO_184,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
93,,MIGRACAO_186,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
94,,MIGRACAO_188,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
95,,MIGRACAO_190,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
96,,MIGRACAO_192,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
97,,MIGRACAO_194,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
98,,MIGRACAO_196,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
99,,MIGRACAO_198,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
100,,MIGRACAO_200,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
101,,MIGRACAO_202,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
102,,MIGRACAO_204,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
103,,MIGRACAO_206,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
