id,created_by,created_date,last_modified_by,last_modified_date,reason_description,type_reason,ucs_amount,fee,payment_type,price,status,total,billet_id,issuer_id,recipient_id,distribution_id,basket_fee_id,additional_info,discount,promo_code_id,commission_sum,commission_id,order_book_queue_id,origin_platform_id,recipient_platform_id
331,6,2025-07-11 12:25:41.219174,890,2025-07-11 17:18:39.917241,,,400,536.70,,191.68,PROCESSED,0.00,,6,379,39423,10,,536.70,,,,,4,4
315,1543,2025-05-31 11:35:08.509019,1543,2025-05-31 11:35:08.509019,,,1250,1300.00,,179.37,ARCHIVED,1300.00,,1543,2324,,10,,0.00,,,,,,
328,1632,2025-07-07 11:40:14.115357,890,2025-07-23 09:28:07.235543,,,30000,1300.00,ELECTRONIC_TRANSFER,191.68,PROCESSED,1300.00,,1632,2089,39436,10,"{""paymentDate"": ""2025-07-23T09:27:46.603690945-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,,,,4,4
327,2246,2025-07-04 10:00:24.672304,890,2025-07-23 09:28:20.301488,,,150,201.26,ELECTRONIC_TRANSFER,191.68,PROCESSED,201.26,,2246,2320,39437,10,"{""paymentDate"": ""2025-07-23T09:27:50.609947551-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,,,,4,4
329,46,2025-07-08 14:05:14.060718,890,2025-07-11 15:13:35.842651,,,2,25.90,ELECTRONIC_TRANSFER,191.68,PROCESSED,25.90,,46,2047,39415,10,"{""paymentDate"": ""2025-07-11T15:13:19.935127787-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,,,,4,4
337,6,2025-07-11 12:26:54.793745,890,2025-07-11 15:17:02.889367,,,400,536.70,,191.68,PROCESSED,0.00,,6,2210,39416,10,,536.70,,,,,4,4
339,3,2025-07-24 10:34:31.779113,890,2025-07-24 10:41:23.104777,,,4957,1300.00,,191.68,PROCESSED,0.00,,3,2340,39438,10,,1300.00,,,,,4,4
336,6,2025-07-11 12:26:40.463932,890,2025-07-11 15:17:15.822354,,,400,536.70,,191.68,PROCESSED,0.00,,6,2209,39417,10,,536.70,,,,,4,4
335,6,2025-07-11 12:26:24.895932,890,2025-07-11 15:17:29.554198,,,400,536.70,,191.68,PROCESSED,0.00,,6,2208,39418,10,,536.70,,,,,4,4
338,3,2025-07-24 09:27:07.021931,890,2025-07-24 10:41:45.38858,,,261,350.20,,191.68,PROCESSED,0.00,,3,2342,39439,10,,350.20,,,,,4,4
333,6,2025-07-11 12:26:05.204606,890,2025-07-11 15:18:06.890319,,,400,536.70,,191.68,PROCESSED,0.00,,6,2203,39420,10,,536.70,,,,,4,4
330,6,2025-07-11 12:25:24.836388,890,2025-07-11 15:18:44.561368,,,500,670.88,,191.68,PROCESSED,0.00,,6,1486,39422,10,,670.88,,,,,4,4
325,1624,2025-06-24 21:42:38.365425,890,2025-07-17 11:08:12.045711,,,100000,1300.00,ELECTRONIC_TRANSFER,192.35,PROCESSED,1300.00,,1624,625,39426,10,"{""paymentDate"": ""2025-07-17T11:07:18.355365357-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,,,,4,4
