id,issuer_id,payer_id,unit_id,ucs_amount,price,fee,total,status,payer_type,order_processing_type,billet_id,payment_type,distribution_id,basket_fee_id,start_date,end_date,created_by,created_date,last_modified_by,last_modified_date,reason_description,type_reason,all_documentation_viewed,is_custom_certificate,additional_info,discount,promo_code_id,commission_sum,commission_id,order_book_queue_id,origin_platform_id,recipient_platform_id
21,1513,1676,1676,36,141.91,0.00,5108.76,PROCESSED,MONEY_UNIT,DEFAULT_QUEUE,344,BILLET,37117,14,2023-07-26,2024-07-26,1513,2023-07-25 14:40:50.8188,933,2023-08-03 12:22:57.592189,,,t,f,"{""paymentDate"": ""2023-08-02T04:14:00.269187408-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,0.00,,,4,4
12,1404,1577,1577,31,152.19,0.00,0.00,PROCESSED,UCS_UNIT,DEFAULT_QUEUE,,ELECTRONIC_TRANSFER,36887,14,2023-05-04,2024-05-04,1404,2023-05-04 10:36:24.500518,1410,2023-05-04 10:47:26.81781,,,t,f,"{""paymentDate"": ""2023-05-04T10:44:52.59569681-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,0.00,,,4,4
14,1616,1616,1616,25,152.19,0.00,3804.75,DENIED,MONEY_UNIT,,,,,14,2023-05-31,2023-06-05,1616,2023-05-25 14:45:11.150926,1410,2023-05-25 15:10:42.433997,dados ucs incorreto,INCORRECT_DATA,t,f,,0.00,,0.00,,,4,4
6,1379,1382,1382,8,143.82,0.00,1150.56,ARCHIVED,MONEY_UNIT,,,,,14,2023-02-02,2024-02-02,1379,2023-02-02 10:45:02.000885,1411,2023-02-02 10:51:09.150462,,,t,f,,,,,,,4,4
8,1379,1442,1442,6,143.82,0.00,862.92,PROCESSED,MONEY_UNIT,DEFAULT_QUEUE,266,BILLET,36798,14,2023-02-02,2024-02-02,1379,2023-02-02 10:48:30.637035,1411,2023-03-16 12:02:21.735791,,,t,f,"{""paymentDate"": ""2023-03-14T04:29:20.017179721-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,4,4
2,1379,1432,1432,7,143.82,0.00,1006.74,ARCHIVED,MONEY_UNIT,,,,,14,2023-02-02,2024-02-02,1379,2023-02-02 10:21:37.27158,1411,2023-02-02 10:26:38.429173,,,t,f,,,,,,,4,4
9,1379,1444,1444,6,143.82,0.00,862.92,ARCHIVED,MONEY_UNIT,,,,,14,2023-02-02,2024-02-02,1379,2023-02-02 10:50:09.08228,918,2023-02-02 10:50:37.523873,,,t,f,,,,,,,4,4
18,1513,1626,1626,93,152.19,0.00,14153.67,PROCESSED,MONEY_UNIT,DEFAULT_QUEUE,314,BILLET,37003,14,2023-05-30,2024-05-30,1513,2023-05-30 10:55:44.997911,1410,2023-06-05 16:17:31.783692,,,t,f,"{""paymentDate"": ""2023-06-03T02:40:00.272930591-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,0.00,,,4,4
24,1513,1676,1676,9,134.88,0.00,1213.92,ARCHIVED,MONEY_UNIT,,,,,14,2023-08-31,2023-09-02,1513,2023-08-15 17:54:16.259261,1680,2023-08-15 18:04:39.982586,,,t,f,"{""paymentDate"": ""2023-08-22T03:36:45.278835743-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,0.00,,,4,4
16,1616,1616,1616,26,152.19,0.00,3956.94,ARCHIVED,MONEY_UNIT,,,ELECTRONIC_TRANSFER,,14,2023-05-31,2023-06-05,1616,2023-05-26 14:58:46.149753,1410,2023-05-26 17:03:07.244016,,,t,f,"{""paymentDate"": ""2023-05-26T17:03:07.243384357-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,0.00,,,4,4
27,1512,1878,1878,1,133.97,0.00,133.97,PROCESSED,MONEY_UNIT,DEFAULT_QUEUE,,ELECTRONIC_TRANSFER,37405,14,2023-10-26,2023-10-26,1512,2023-10-24 09:04:02.391921,933,2023-10-25 10:53:36.895995,,,t,t,"{""paymentDate"": ""2023-10-25T10:53:14.963167964-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,0.00,,130,3,3
28,1513,1932,1932,4,130.26,0.00,521.04,PROCESSED,MONEY_UNIT,DEFAULT_QUEUE,417,BILLET,37473,14,2023-12-04,2024-12-04,1513,2023-11-28 16:13:07.140383,890,2023-12-12 12:21:17.817503,,,t,f,"{""paymentDate"": ""2023-12-09T02:34:42.415915518-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,0.00,,2,3,3
26,1513,1870,1870,55,133.97,0.00,7368.35,ARCHIVED,MONEY_UNIT,,,,,14,2023-10-20,2024-10-20,1513,2023-10-19 16:38:09.876352,1680,2023-10-24 09:59:21.801493,,,t,f,,0.00,,0.00,,,,
29,1512,1959,1959,15,127.18,0.00,1907.70,PROCESSED,MONEY_UNIT,DEFAULT_QUEUE,,ELECTRONIC_TRANSFER,37492,14,2023-01-13,2023-12-18,1512,2024-01-11 14:32:12.922275,890,2024-01-12 11:27:01.044439,,,t,t,"{""paymentDate"": ""2024-01-12T11:12:37.960791573-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,0.00,,2,3,3
19,1513,1630,1630,2,152.19,0.00,0.00,PENDING_DOCUMENTATION_VALIDATION,UCS_UNIT,,,,,14,2023-05-31,2023-05-31,1513,2023-05-30 16:14:43.482245,1410,2023-05-30 16:19:01.23234,,,t,f,,0.00,,0.00,,,4,4
30,2068,2068,2068,37,135.16,0.00,5000.92,PROCESSED,MONEY_UNIT,DEFAULT_QUEUE,,ELECTRONIC_TRANSFER,37786,14,2024-06-20,2025-06-20,2068,2024-06-18 13:47:27.892092,890,2024-06-20 09:02:57.729042,,,t,t,"{""paymentDate"": ""2024-06-20T09:00:55.881839321-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,0.00,,2,3,3
35,1512,2112,2112,5,162.61,0.00,813.05,PROCESSED,MONEY_UNIT,DEFAULT_QUEUE,,ELECTRONIC_TRANSFER,37877,14,2024-07-01,2025-07-01,1512,2024-08-13 10:25:18.894787,890,2024-08-27 10:32:59.342946,,,t,t,"{""paymentDate"": ""2024-08-27T10:31:38.879081412-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,0.00,,127,3,3
37,1512,2145,2145,8,155.02,0.00,1240.16,PROCESSED,MONEY_UNIT,DEFAULT_QUEUE,,ELECTRONIC_TRANSFER,37921,14,2024-10-01,2025-10-01,1512,2024-10-01 12:42:22.12137,890,2024-10-09 14:56:06.882424,,,t,t,"{""paymentDate"": ""2024-10-09T14:55:18.51555721-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,0.00,,127,3,3
34,1512,2107,2107,7,162.61,0.00,1138.27,PROCESSED,MONEY_UNIT,DEFAULT_QUEUE,,ELECTRONIC_TRANSFER,37878,14,2024-07-01,2025-07-01,1512,2024-08-06 16:43:25.339214,890,2024-08-27 10:33:31.673061,,,t,t,"{""paymentDate"": ""2024-08-27T10:31:45.244232335-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,0.00,,127,3,3
33,2096,2096,2096,28,132.90,0.00,3721.20,PROCESSED,MONEY_UNIT,DEFAULT_QUEUE,,ELECTRONIC_TRANSFER,37845,14,2024-07-01,2025-07-01,2096,2024-07-18 06:34:58.77865,890,2024-07-18 10:29:26.954399,,,t,t,"{""paymentDate"": ""2024-07-18T10:26:53.56319184-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,0.00,,2,3,3
36,1512,2145,2145,5,155.02,0.00,775.10,ARCHIVED,MONEY_UNIT,,,,,14,2024-10-01,2025-10-01,1512,2024-09-29 22:28:21.265113,890,2024-10-01 14:47:11.528425,,,t,t,,0.00,,0.00,,,,
40,1512,2180,2180,42,160.76,0.00,6751.92,PROCESSED,MONEY_UNIT,DEFAULT_QUEUE,,ELECTRONIC_TRANSFER,37963,14,2024-11-01,2025-11-01,1512,2024-10-31 15:59:47.911287,890,2024-11-05 14:44:57.219727,,,t,t,"{""paymentDate"": ""2024-11-05T10:52:02.651712866-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,0.00,,140,3,3
32,1512,2096,2096,28,132.90,0.00,3721.20,PENDING_DOCUMENTATION_VALIDATION,MONEY_UNIT,,,,,14,2024-07-01,2025-07-01,1512,2024-07-04 15:36:27.195372,890,2024-07-18 10:36:23.082071,,,t,t,,0.00,,0.00,,,,
42,1512,2248,2248,6,195.11,0.00,1170.66,PROCESSED,MONEY_UNIT,DEFAULT_QUEUE,,ELECTRONIC_TRANSFER,39329,14,2025-03-01,2026-03-01,1512,2025-02-20 09:43:47.007945,890,2025-03-11 11:48:20.073233,,,t,t,"{""paymentDate"": ""2025-03-11T11:47:52.71585227-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,0.00,,127,3,3
48,1512,2315,2315,31,179.37,0.00,5560.47,PROCESSED,MONEY_UNIT,DEFAULT_QUEUE,,ELECTRONIC_TRANSFER,39369,14,2025-05-14,2026-05-14,1512,2025-05-14 14:47:47.912393,890,2025-05-14 15:14:49.037904,,,t,t,"{""paymentDate"": ""2025-05-14T15:13:58.107523536-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,0.00,,127,3,3
43,1512,2251,2251,45,195.11,0.00,8779.95,ARCHIVED,MONEY_UNIT,,,,,14,2025-03-03,2026-03-03,1512,2025-02-25 17:33:05.267953,1512,2025-02-25 17:33:05.267953,,,t,t,,0.00,,0.00,,,,
38,1512,2148,2148,20,155.02,0.00,3100.40,ARCHIVED,MONEY_UNIT,,,,,14,2024-10-01,2025-10-01,1512,2024-10-02 13:17:02.334971,890,2024-10-07 10:51:10.33331,,,t,t,,0.00,,0.00,,,,
44,1512,2253,2253,13,195.11,0.00,2536.43,ARCHIVED,MONEY_UNIT,,,,,14,2025-03-03,2026-03-03,1512,2025-02-25 17:35:22.11826,1512,2025-02-25 17:35:22.11826,,,t,t,,0.00,,0.00,,,,
45,1512,2280,2280,109,210.09,0.00,22899.81,ARCHIVED,MONEY_UNIT,,,,,14,2025-04-01,2026-04-01,1512,2025-03-21 14:20:12.584446,1512,2025-03-21 14:20:12.584446,,,t,t,,0.00,,0.00,,,,
41,1512,2220,2220,162,188.75,0.00,30577.50,PROCESSED,MONEY_UNIT,DEFAULT_QUEUE,,ELECTRONIC_TRANSFER,39285,14,2025-01-01,2026-01-01,1512,2025-01-06 08:47:13.768877,890,2025-01-07 17:58:26.585457,,,t,t,"{""paymentDate"": ""2025-01-07T17:56:31.245852299-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,0.00,,127,3,3
46,1512,2285,2285,7,210.09,0.00,1470.63,ARCHIVED,MONEY_UNIT,,,,,14,2025-04-01,2026-04-01,1512,2025-03-25 18:05:35.386996,1512,2025-03-25 18:05:35.386996,,,t,t,,0.00,,0.00,,,,
47,2310,2305,2310,1,179.37,0.00,0.00,ARCHIVED,UCS_MASTER,,,,,14,2025-05-01,2026-05-12,2310,2025-05-12 16:55:41.164453,2310,2025-05-12 16:55:41.164453,,,t,t,,0.00,,0.00,,,,
39,1512,2148,2148,19,160.76,0.00,3054.44,PROCESSED,MONEY_UNIT,DEFAULT_QUEUE,,ELECTRONIC_TRANSFER,37945,14,2024-10-01,2025-10-01,1512,2024-10-04 08:44:56.755002,890,2024-10-28 14:05:13.990273,,,t,t,"{""paymentDate"": ""2024-10-28T13:57:07.041909833-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,0.00,,127,3,3
