id,profile_id,ucs_amount,position,order_book_group_id,created_by,created_date,last_modified_by,last_modified_date,next
4880,1623,49999,160,2,933,2023-12-04 15:22:21.467674,933,2023-12-04 15:22:21.467674,f
137,284,3,108,2,0,2021-10-13 16:40:34.82202,0,2021-10-13 16:40:34.82202,f
138,286,3,109,2,0,2021-10-13 16:40:34.836753,0,2021-10-13 16:40:34.836753,f
4972,1091,0,1,409,933,2024-12-17 15:41:34.954937,933,2024-12-17 15:41:34.954937,f
139,288,3,110,2,0,2021-10-13 16:40:34.850662,0,2021-10-13 16:40:34.850662,f
25,58,4,19,2,0,2021-10-13 16:40:33.278683,0,2021-10-13 16:40:33.278683,f
27,62,4,20,2,0,2021-10-13 16:40:33.306696,0,2021-10-13 16:40:33.306696,f
28,64,4,21,2,0,2021-10-13 16:40:33.317926,0,2021-10-13 16:40:33.317926,f
29,66,4,22,2,0,2021-10-13 16:40:33.329288,0,2021-10-13 16:40:33.329288,f
32,72,4,25,2,0,2021-10-13 16:40:33.372936,0,2021-10-13 16:40:33.372936,f
35,78,4,27,2,0,2021-10-13 16:40:33.410415,0,2021-10-13 16:40:33.410415,f
36,80,4,28,2,0,2021-10-13 16:40:33.420668,0,2021-10-13 16:40:33.420668,f
37,82,4,29,2,0,2021-10-13 16:40:33.432111,0,2021-10-13 16:40:33.432111,f
