id,role_user_id,user_id,status,processing_message,reason,description,active,block,area_id,amount,created_by,created_date,last_modified_by,last_modified_date
46,,225,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:41:21.868057,933,2024-06-18 00:32:21.911178
45,,222,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:41:12.662799,933,2024-06-18 00:32:25.804332
44,,221,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:40:59.488966,933,2024-06-18 00:32:29.488507
43,,220,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:40:47.543169,933,2024-06-18 00:32:33.588235
42,,219,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:40:37.980843,933,2024-06-18 00:32:37.479751
41,,218,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:40:27.888618,933,2024-06-18 00:32:43.31776
40,,217,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:40:18.773466,933,2024-06-18 00:32:46.999821
39,,216,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:40:09.33825,933,2024-06-18 00:32:50.586365
38,,214,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:39:59.112187,933,2024-06-18 00:32:54.481421
37,,213,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:39:49.074023,933,2024-06-18 00:32:58.576307
35,,211,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:39:29.146784,933,2024-06-18 00:33:07.396474
34,,210,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:39:18.86634,933,2024-06-18 00:33:12.189026
33,,209,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:39:09.565691,933,2024-06-18 00:33:15.882925
32,,208,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:38:58.400129,933,2024-06-18 00:33:19.459684
31,,207,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:38:46.913614,933,2024-06-18 00:33:23.992745
29,,205,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:38:21.853301,933,2024-06-18 00:33:28.778245
30,,206,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:38:32.973147,933,2024-06-18 00:33:33.281353
2,,47,FINISHED,,OTHERS,Suspensão de vendas a pedido da senhora SANDRA REGINA BOND CARRENHO,f,f,,,933,2022-09-20 17:52:46.57909,933,2022-11-10 08:26:46.538125
74,,1042,FINISHED,,OTHERS,Registro por CPR Verde na B3,f,f,,,933,2022-12-15 16:04:37.729067,933,2023-05-09 09:33:39.838145
75,,976,FINISHED,,OTHERS,Alienação por CPR como garantia,t,t,,,1411,2023-02-16 14:13:05.93622,1411,2023-02-16 14:13:05.93622
77,,469,FINISHED,,OTHERS,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a bloqueio estratégico BMV.",t,t,,,933,2023-03-16 11:10:51.988662,933,2023-03-16 11:10:51.988662
78,,415,FINISHED,,OTHERS,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a bloqueio estratégico BMV.",t,t,,,933,2023-03-16 11:11:37.527991,933,2023-03-16 11:11:37.527991
79,,658,FINISHED,,OTHERS,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a bloqueio estratégico BMV.",t,t,,,933,2023-03-16 11:12:45.642618,933,2023-03-16 11:12:45.642618
80,,268,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendencia cadastral.",t,t,,,933,2023-03-16 11:13:29.899265,933,2023-03-16 11:13:29.899265
81,,259,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendencia cadastral.",t,t,,,933,2023-03-16 11:15:26.943033,933,2023-03-16 11:15:26.943033
82,,270,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendencia cadastral.",t,t,,,933,2023-03-16 11:16:56.061915,933,2023-03-16 11:16:56.061915
83,,256,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendencia cadastral.",t,t,,,933,2023-03-16 11:17:35.345336,933,2023-03-16 11:17:35.345336
84,,260,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendencia cadastral.",t,t,,,933,2023-03-16 11:18:22.874678,933,2023-03-16 11:18:22.874678
