id,created_by,created_date,last_modified_by,last_modified_date,role_user_id,start_date,end_date,percentage,role_type,operation_type,active
55,933,2022-09-23 16:46:41.227781,933,2022-09-23 16:46:41.227781,,2022-09-23,,50.0000,LAW_DEPARTMENT,AKSES_DISTRIBUTOR_CREDENTIALED_ORDER,t
56,933,2022-09-23 16:46:41.228291,933,2022-09-23 16:46:41.228291,,2022-09-23,,50.0000,MASTER,AKSES_DISTRIBUTOR_CREDENTIALED_ORDER,t
57,933,2022-09-23 16:46:41.228745,933,2022-09-23 16:46:41.228745,,2022-09-23,,50.0000,OPERATOR,AKSES_DISTRIBUTOR_CREDENTIALED_ORDER,t
58,933,2022-09-23 16:46:41.22924,933,2022-09-23 16:46:41.22924,,2022-09-23,,50.0000,PARTNER,AKSES_DISTRIBUTOR_CREDENTIALED_ORDER,t
59,933,2022-09-23 16:46:41.229768,933,2022-09-23 16:46:41.229768,,2022-09-23,,50.0000,PRODUCER,AKSES_DISTRIBUTOR_CREDENTIALED_ORDER,t
60,933,2022-09-23 16:46:41.230552,933,2022-09-23 16:46:41.230552,,2022-09-23,,50.0000,SUPERVISOR,AKSES_DISTRIBUTOR_CREDENTIALED_ORDER,t
61,933,2022-09-23 16:46:41.231023,933,2022-09-23 16:46:41.231023,,2022-09-23,,50.0000,TI,AKSES_DISTRIBUTOR_CREDENTIALED_ORDER,t
62,933,2022-09-23 16:46:41.231619,933,2022-09-23 16:46:41.231619,,2022-09-23,,50.0000,UNIT,AKSES_DISTRIBUTOR_CREDENTIALED_ORDER,t
63,933,2022-09-23 16:46:41.232196,933,2022-09-23 16:46:41.232196,,2022-09-23,,50.0000,USER_AKSES,AKSES_DISTRIBUTOR_CREDENTIALED_ORDER,t
64,933,2022-09-23 16:47:52.982917,933,2022-09-23 16:47:52.982917,,2022-09-23,,50.0000,ADMIN,AKSES_DISTRIBUTOR_GENERAL_ORDER,t
65,933,2022-09-23 16:47:52.984014,933,2022-09-23 16:47:52.984014,,2022-09-23,,50.0000,ADMINISTRATIVE,AKSES_DISTRIBUTOR_GENERAL_ORDER,t
66,933,2022-09-23 16:47:52.98494,933,2022-09-23 16:47:52.98494,,2022-09-23,,50.0000,ASSOCIATION,AKSES_DISTRIBUTOR_GENERAL_ORDER,t
67,933,2022-09-23 16:47:52.985666,933,2022-09-23 16:47:52.985666,,2022-09-23,,50.0000,AUDIT,AKSES_DISTRIBUTOR_GENERAL_ORDER,t
68,933,2022-09-23 16:47:52.9863,933,2022-09-23 16:47:52.9863,,2022-09-23,,50.0000,CREDENTIALED_DISTRIBUTOR,AKSES_DISTRIBUTOR_GENERAL_ORDER,t
69,933,2022-09-23 16:47:52.986784,933,2022-09-23 16:47:52.986784,,2022-09-23,,50.0000,CUSTOMER,AKSES_DISTRIBUTOR_GENERAL_ORDER,t
70,933,2022-09-23 16:47:52.98742,933,2022-09-23 16:47:52.98742,,2022-09-23,,50.0000,DIRECTOR,AKSES_DISTRIBUTOR_GENERAL_ORDER,t
71,933,2022-09-23 16:47:52.987916,933,2022-09-23 16:47:52.987916,,2022-09-23,,50.0000,FINANCIAL,AKSES_DISTRIBUTOR_GENERAL_ORDER,t
72,933,2022-09-23 16:47:52.988404,933,2022-09-23 16:47:52.988404,,2022-09-23,,50.0000,FINANCIAL_DISTRIBUTOR,AKSES_DISTRIBUTOR_GENERAL_ORDER,t
73,933,2022-09-23 16:47:52.988875,933,2022-09-23 16:47:52.988875,,2022-09-23,,50.0000,GENERAL_DISTRIBUTOR,AKSES_DISTRIBUTOR_GENERAL_ORDER,t
74,933,2022-09-23 16:47:52.989391,933,2022-09-23 16:47:52.989391,,2022-09-23,,50.0000,GEO,AKSES_DISTRIBUTOR_GENERAL_ORDER,t
75,933,2022-09-23 16:47:52.989857,933,2022-09-23 16:47:52.989857,,2022-09-23,,50.0000,IMEI,AKSES_DISTRIBUTOR_GENERAL_ORDER,t
76,933,2022-09-23 16:47:52.990528,933,2022-09-23 16:47:52.990528,,2022-09-23,,50.0000,LAW_DEPARTMENT,AKSES_DISTRIBUTOR_GENERAL_ORDER,t
77,933,2022-09-23 16:47:52.991044,933,2022-09-23 16:47:52.991044,,2022-09-23,,50.0000,MASTER,AKSES_DISTRIBUTOR_GENERAL_ORDER,t
78,933,2022-09-23 16:47:52.99176,933,2022-09-23 16:47:52.99176,,2022-09-23,,50.0000,OPERATOR,AKSES_DISTRIBUTOR_GENERAL_ORDER,t
