id,initial_amount,available_balance,updated_on,harvest_year,user_id,harvest_id,distribution_id,transaction_id,origin_id,retired,blocked_ucs_id,platform_id
700,59372998,0,2020-08-25 00:00:00,2020,398,234,234,700,,f,,1
701,59372998,57140395,2020-08-25 00:00:00,2020,398,234,235,701,700,f,,2
42330,2232603,0,2020-10-13 00:00:00,2020,6,234,35654,39523,701,f,,2
117437,1,1,2024-11-28 11:32:53.517413,2020,5,234,39241,57427,117434,f,,4
117360,918,918,2024-11-25 10:33:13.446503,2020,344,234,38038,57351,94643,f,,4
59463,1000000,0,2023-06-30 16:02:22.500331,2020,3,234,36913,51092,42331,f,,5
59635,300000,0,2023-09-15 03:00:01.139664,2020,3,234,36937,51167,42331,f,,5
42331,2232603,0,2024-11-25 08:47:27.920377,2020,3,234,35655,39524,42330,f,,2
61328,1000000,0,2024-11-25 08:47:28.064419,2020,3,234,37060,51949,59463,f,,2
62370,300000,0,2024-11-25 08:47:28.064432,2020,3,234,37236,52886,59635,f,,2
117249,540583,540583,2024-11-25 10:24:03.475023,2020,272,234,38155,57241,94640,f,,4
117250,1353,1353,2024-11-25 10:24:08.449905,2020,272,234,38153,57242,94643,f,,4
117251,649,649,2024-11-25 10:24:13.443153,2020,272,234,38130,57243,94652,f,,4
117252,243745,243745,2024-11-25 10:24:18.446878,2020,272,234,38129,57244,94640,f,,4
117253,13383,13383,2024-11-25 10:24:23.44405,2020,82,234,38128,57245,94643,f,,4
117254,14268,14268,2024-11-25 10:24:28.507285,2020,82,234,38127,57246,94652,f,,4
117255,1995,1995,2024-11-25 10:24:33.442521,2020,82,234,38126,57247,94640,f,,4
117256,1062,1062,2024-11-25 10:24:38.442821,2020,276,234,38122,57248,94643,f,,4
94652,300000,0,2024-11-25 10:29:28.52322,2020,3,234,39232,56189,62370,f,,4
117257,1131,1131,2024-11-25 10:24:43.451317,2020,276,234,38134,57249,94652,f,,4
117258,158,158,2024-11-25 10:24:48.444106,2020,276,234,38132,57250,94640,f,,4
117259,42843,42843,2024-11-25 10:24:53.44783,2020,274,234,38131,57251,94643,f,,4
117260,45676,45676,2024-11-25 10:24:58.443555,2020,274,234,38139,57252,94652,f,,4
117261,6385,6385,2024-11-25 10:25:03.454209,2020,274,234,38138,57253,94640,f,,4
117262,4441,4441,2024-11-25 10:25:08.446814,2020,278,234,38137,57254,94643,f,,4
117263,4735,4735,2024-11-25 10:25:13.449024,2020,278,234,38143,57255,94652,f,,4
117264,662,662,2024-11-25 10:25:18.445414,2020,278,234,38142,57256,94640,f,,4
117265,1166,1166,2024-11-25 10:25:23.478356,2020,280,234,38141,57257,94643,f,,4
117266,1244,1244,2024-11-25 10:25:28.548573,2020,280,234,38140,57258,94652,f,,4
117267,174,174,2024-11-25 10:25:33.473086,2020,280,234,38149,57259,94640,f,,4
117268,232,232,2024-11-25 10:25:38.467431,2020,282,234,38148,57260,94643,f,,4
117269,247,247,2024-11-25 10:25:43.460309,2020,282,234,38144,57261,94652,f,,4
117270,35,35,2024-11-25 10:25:48.455521,2020,282,234,38146,57262,94640,f,,4
117271,314,314,2024-11-25 10:25:53.477337,2020,284,234,38136,57263,94643,f,,4
117272,335,335,2024-11-25 10:25:58.464563,2020,284,234,38124,57264,94652,f,,4
117273,47,47,2024-11-25 10:26:03.4627,2020,284,234,38152,57265,94640,f,,4
117274,10402,10402,2024-11-25 10:26:08.463235,2020,286,234,38151,57266,94643,f,,4
117275,11090,11090,2024-11-25 10:26:13.462946,2020,286,234,38150,57267,94652,f,,4
117276,1550,1550,2024-11-25 10:26:18.453581,2020,286,234,38170,57268,94640,f,,4
117277,36113,36113,2024-11-25 10:26:23.457062,2020,288,234,38166,57269,94643,f,,4
117278,38502,38502,2024-11-25 10:26:28.570123,2020,288,234,38157,57270,94652,f,,4
