id,account_code,parent_account,description,report_shows_number,reducing_account,created_by,created_date,last_modified_by,last_modified_date
82,4.4.10,72,(-) INPI / MARCAS E PATENTES,t,t,1339,2022-09-16 14:49:26.143531,1339,2022-09-28 16:43:28.520327
81,4.4.9,72,(-) ESTACIONAMENTOS,t,t,1339,2022-09-16 14:48:45.922158,1339,2022-09-28 16:43:11.970798
83,4.4.11,72,(-) LANCHES E REFEIÇÕES,t,t,1339,2022-09-16 14:50:10.922938,1339,2022-09-28 16:43:43.933979
84,4.4.12,72,(-) RETIRADA DE SÓCIOS,t,t,1339,2022-09-16 14:51:01.775185,1339,2022-09-28 16:44:13.395265
86,4.5.1,85,(-) EQUIPAMENTOS DE INFORMÁTICA,t,t,1339,2022-09-16 14:51:58.663077,1339,2022-09-28 16:45:15.804272
87,4.5.2,85,(-) IMÓVEIS,t,t,1339,2022-09-16 14:52:22.964195,1339,2022-09-28 16:46:01.675659
88,4.5.3,85,(-) MÓVEIS E UTENSÍLIOS,t,t,1339,2022-09-16 14:53:06.170885,1339,2022-09-28 16:46:21.208247
89,4.5.4,85,(-) EQUIPAMENTOS,t,t,1339,2022-09-16 14:54:36.216093,1339,2022-09-28 16:46:33.37079
91,4.6.1,90,(-) ESCRITÓRIO,t,t,1339,2022-09-16 15:21:02.297647,1339,2022-09-28 16:48:07.105577
93,4.6.3,90,(-) LIMPEZA E CONSERVAÇÃO,t,t,1339,2022-09-16 15:21:54.133887,1339,2022-09-28 16:56:24.994772
92,4.6.2,90,(-) CONSUMO,t,t,1339,2022-09-16 15:21:29.226971,1339,2022-09-28 16:55:07.214926
94,4.6.4,90,(-) XEROX / ENCADERNAÇÃO,t,t,1339,2022-09-16 15:28:25.773544,1339,2022-09-28 16:59:29.519692
96,4.7.1,95,(-) IPVA / DESPACHANTE / TAXAS / MULTAS,t,t,1339,2022-09-16 15:29:33.40859,1339,2022-09-28 17:01:58.891471
97,4.7.2,95,(-) COMBUSTÍVEIS E LUBRIFICANTES,t,t,1339,2022-09-16 15:30:13.370557,1339,2022-09-28 17:02:53.468419
98,4.7.3,95,(-) MANUTENÇÃO,t,t,1339,2022-09-16 15:30:34.270011,1339,2022-09-28 17:03:13.114661
99,4.7.4,95,(-) LEASING,t,t,1339,2022-09-16 15:32:21.02705,1339,2022-09-28 17:03:30.072168
100,4.8.1,95,"(-) POSTAGEM (CORREIOS, ETC.)",t,t,1339,2022-09-16 15:35:21.203024,1339,2022-09-28 17:04:42.597561
102,4.9.1,101,(-) SEGURANÇA DA INFORMAÇÃO,t,t,1339,2022-09-16 15:37:28.543254,1339,2022-09-28 17:06:16.807839
103,4.9.2,101,(-) SEGURANÇA E VIGILÂNCIA,t,t,1339,2022-09-16 15:38:09.463549,1339,2022-09-28 17:06:44.088859
104,4.9.3,101,(-) SEGUROS,t,t,1339,2022-09-16 15:41:37.002268,1339,2022-09-28 17:07:04.269359
105,4.9.4,101,(-) IMOBILIZADOS,t,t,1339,2022-09-16 15:42:02.354007,1339,2022-09-28 17:07:41.285672
106,4.9.5,101,(-) VIDA,t,t,1339,2022-09-16 15:42:31.182093,1339,2022-09-28 17:07:56.446269
107,4.9.6,101,(-) VEÍCULOS,t,t,1339,2022-09-16 15:42:53.493038,1339,2022-09-28 17:08:22.292073
108,4.10.1,101,(-) SUPRIMENTO DE CAIXA,t,t,1339,2022-09-16 15:43:17.992913,1339,2022-09-28 17:09:00.271512
110,4.11.1,109,(-) AJUDA DE CUSTO,t,t,1339,2022-09-16 15:46:37.552283,1339,2022-09-28 17:09:46.253466
112,4.11.4,109,(-) ALIMENTAÇÃO / TRANSPORTE (REUNIÃO COMERCIAL),t,t,1339,2022-09-16 15:49:11.882232,1339,2022-09-28 17:13:08.664969
114,4.12.1,113,(-) EQUIPAMENTOS PROTEÇÃO / CAMPO - INVESTIMENTO,t,t,1339,2022-09-16 15:50:53.187193,1339,2022-09-28 17:17:35.46157
115,4.12.3,113,"(-) PRESTAÇÃO DE SERVIÇOS CAMPO (INVENTÁRIO, MONITORAMENTO, ETC.)",t,t,1339,2022-09-16 15:53:09.916285,1339,2022-09-28 17:20:11.753305
116,4.12.4,113,(-) HOSPEDAGEM / ALIMENTAÇÃO / DESLOCAMENTO,t,t,1339,2022-09-16 15:54:25.756813,1339,2022-09-28 17:20:46.886467
117,4.12.5,113,(-) TRANSPORTES,t,t,1339,2022-09-16 15:54:59.036038,1339,2022-09-28 17:21:28.564311
118,4.12.6,113,(-) SEGURO VIAGEM,t,t,1339,2022-09-16 15:55:22.482201,1339,2022-09-28 17:21:40.343598
119,4.12.7,113,(-) COMUNICAÇÃO,t,t,1339,2022-09-16 15:55:47.552427,1339,2022-09-28 17:21:53.090142
142,5.1.2,140,(-) EMPRÉSTIMOS BANCÁRIOS,t,t,1339,2022-09-16 16:12:17.006022,933,2022-09-30 11:40:00.104895
121,4.13.1,120,(-) PARCEIROS (PREMIAÇÃO/BÔNUS),t,t,1339,2022-09-16 15:57:06.76795,933,2022-09-30 11:38:02.310148
124,4.16.1,123,(-) HONORÁRIOS ADVOCATICIOS,t,t,1339,2022-09-16 16:00:28.800074,1339,2022-09-28 17:24:31.111344
125,4.16.2,123,(-) HONORÁRIOS CONTÁBEIS,t,t,1339,2022-09-16 16:01:01.010615,1339,2022-09-28 17:24:43.09714
126,4.16.3,123,(-) CONSULTORIAS / ASSESSORIAS,t,t,1339,2022-09-16 16:02:02.13,1339,2022-09-28 17:25:03.194751
127,4.16.4,123,(-) SERVIÇOS DE TERCEIROS NO EXTERIOR,t,t,1339,2022-09-16 16:03:26.458184,1339,2022-09-28 17:25:20.735538
128,4.16.5,123,(-) AUDITORIAS,t,t,1339,2022-09-16 16:04:02.742325,1339,2022-09-28 17:25:34.815352
129,4.16.6,123,(-) DIVERSOS,t,t,1339,2022-09-16 16:04:26.928908,1339,2022-09-28 17:25:49.882769
130,4.16.7,123,(-) COMUNICAÇÃO,t,t,1339,2022-09-16 16:05:27.865357,1339,2022-09-28 17:26:32.645531
131,4.16.8,123,(-) TECNOLOCIA E INFORMAÇÃO,t,t,1339,2022-09-16 16:06:33.923404,1339,2022-09-28 17:26:42.936744
132,4.16.9,123,"(-) REGISTRO B3 (CPR, OUTROS)",t,t,1339,2022-09-16 16:07:15.454432,1339,2022-09-28 17:26:54.660836
134,4.17.1,133,(-) FEDERAIS,t,t,1339,2022-09-16 16:08:03.173598,1339,2022-09-28 17:27:31.584334
