id,created_by,created_date,last_modified_by,last_modified_date,code,pin,reason,status,year,area_id
2,1426,2023-03-14 12:21:41.686687,1426,2023-03-14 12:21:41.686687,,,,PENDING,2022,237
3,1426,2023-03-14 17:53:35.214663,1426,2023-03-14 17:53:35.214663,,,,PENDING,2022,238
4,1426,2023-03-14 17:55:54.670432,1426,2023-03-14 17:55:54.670432,,,,PENDING,2022,239
5,1426,2023-05-05 16:29:25.338807,1426,2023-05-05 16:29:25.338807,,,,PENDING,2022,240
6,1426,2023-05-05 16:32:56.506345,1426,2023-05-05 16:32:56.506345,,,,PENDING,2022,241
7,1426,2023-05-05 17:05:45.228744,1426,2023-05-05 17:05:45.228744,,,,PENDING,2022,242
8,1426,2023-05-05 17:12:04.992206,1426,2023-05-05 17:12:04.992206,,,,PENDING,2022,252
9,1426,2023-05-05 17:16:13.312529,1426,2023-05-05 17:16:13.312529,,,,PENDING,2022,243
10,1426,2023-05-05 17:22:37.558045,1426,2023-05-05 17:22:37.558045,,,,PENDING,2022,244
11,1426,2023-05-05 17:26:13.866583,1426,2023-05-05 17:26:13.866583,,,,PENDING,2022,245
12,1426,2023-05-05 17:29:10.366411,1426,2023-05-05 17:29:10.366411,,,,PENDING,2022,246
13,1426,2023-05-05 17:32:21.161602,1426,2023-05-05 17:32:21.161602,,,,PENDING,2022,247
14,1426,2023-05-05 17:35:29.907216,1426,2023-05-05 17:35:29.907216,,,,PENDING,2022,248
15,1426,2023-05-05 17:37:22.669892,1426,2023-05-05 17:37:22.669892,,,,PENDING,2022,249
16,1426,2023-05-05 17:44:52.714744,1426,2023-05-05 17:44:52.714744,,,,PENDING,2022,250
17,1426,2023-05-05 17:48:18.359786,1426,2023-05-05 17:48:18.359786,,,,PENDING,2022,251
18,1725,2023-09-06 17:29:41.703149,1725,2023-09-06 17:29:41.703149,,,,PENDING,2022,253
19,1725,2023-09-06 17:42:27.200905,1725,2023-09-06 17:42:27.200905,,,,PENDING,2022,257
20,1725,2023-09-06 17:43:02.155175,1725,2023-09-06 17:43:02.155175,,,,PENDING,2022,258
21,1725,2023-09-06 17:43:31.044659,1725,2023-09-06 17:43:31.044659,,,,PENDING,2022,259
1,1,2022-02-01 15:11:26.922451,1,2022-02-01 15:11:26.922451,,126953,,PENDING,2010,1
22,890,2025-12-12 15:49:59.74174,890,2025-12-12 15:49:59.74174,,,,PENDING,2024,1
